remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
0.8296666741371155,0.8299999833106995,0.0,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8276666402816772,0.8236666917800903,0.05,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8299999833106995,0.8333333134651184,0.1,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8263333439826965,0.8276666402816772,0.15,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8193333148956299,0.8173333406448364,0.2,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8223333358764648,0.8230000138282776,0.25,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8243333101272583,0.8063333630561829,0.3,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.812666654586792,0.8063333630561829,0.35,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8050000071525574,0.7919999957084656,0.4,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8096666932106018,0.7913333177566528,0.45,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7956666946411133,0.7839999794960022,0.5,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.793666660785675,0.7713333368301392,0.55,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7876666784286499,0.7590000033378601,0.6,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7680000066757202,0.7393333315849304,0.65,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7723333239555359,0.7473333477973938,0.7,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7379999756813049,0.734666645526886,0.75,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7283333539962769,0.7269999980926514,0.8,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7170000076293945,0.7093333601951599,0.85,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.7089999914169312,0.7003333568572998,0.9,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.6909999847412109,0.687666654586792,0.95,RandomEvaluator(),2dplanes,0.05,logistic_regression
0.8293333053588867,0.831333339214325,0.0,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8299999833106995,0.8253333568572998,0.05,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8286666870117188,0.8263333439826965,0.1,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8169999718666077,0.8270000219345093,0.15,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8209999799728394,0.8220000267028809,0.2,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8096666932106018,0.8119999766349792,0.25,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8116666674613953,0.8146666884422302,0.3,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8013333082199097,0.8090000152587891,0.35,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.8003333210945129,0.8069999814033508,0.4,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7833333611488342,0.800000011920929,0.45,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.784333348274231,0.793666660785675,0.5,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7713333368301392,0.7820000052452087,0.55,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7480000257492065,0.7770000100135803,0.6,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.746999979019165,0.7429999709129333,0.65,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7303333282470703,0.7570000290870667,0.7,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7276666760444641,0.7353333234786987,0.75,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7143333554267883,0.7279999852180481,0.8,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7046666741371155,0.7039999961853027,0.85,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.7093333601951599,0.6913333535194397,0.9,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.6726666688919067,0.6773333549499512,0.95,InfluenceSubsample(num_models=1000),2dplanes,0.05,logistic_regression
0.831333339214325,0.8360000252723694,0.0,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8323333263397217,0.8330000042915344,0.05,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.82833331823349,0.8253333568572998,0.1,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8289999961853027,0.8240000009536743,0.15,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8136666417121887,0.8233333230018616,0.2,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8256666660308838,0.8216666579246521,0.25,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8003333210945129,0.8149999976158142,0.3,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.8066666722297668,0.8153333067893982,0.35,LeaveOneOut(),2dplanes,0.05,logistic_regression
0.7803333401679993,0.812333345413208,0.4,LeaveOneOut(),2dplanes,0.05,logistic_regression
