kmeans_f1,method,dataset,noise_rate,model
0.18216318785578747,KNNShapley(k_neighbors=100),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14035087719298245,LavaEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09854014598540146,RandomEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09694793536804308,DVRL(rl_epochs=2000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09541284403669725,DataBanzhaf(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09142857142857143,InfluenceSubsample(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0847145488029466,DataOob(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.038461538461538464,LeaveOneOut(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.20179372197309417,KNNShapley(k_neighbors=100),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11983471074380166,LavaEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10714285714285714,DataBanzhaf(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10229276895943562,DataOob(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10211267605633803,DVRL(rl_epochs=2000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08089887640449438,InfluenceSubsample(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07590132827324478,RandomEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LeaveOneOut(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.21621621621621623,KNNShapley(k_neighbors=100),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11524163568773234,LavaEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11347517730496454,DVRL(rl_epochs=2000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10237659963436929,DataBanzhaf(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10037174721189591,InfluenceSubsample(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09505703422053231,LeaveOneOut(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08163265306122448,RandomEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06716417910447761,DataOob(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1917808219178082,KNNShapley(k_neighbors=100),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.12323943661971831,InfluenceSubsample(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11211573236889692,LavaEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10431654676258993,DVRL(rl_epochs=2000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09792843691148775,LeaveOneOut(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09532888465204957,AME(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09041591320072333,DataOob(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07331975560081466,DataBanzhaf(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07005253940455342,RandomEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.18253968253968253,KNNShapley(k_neighbors=100),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13025210084033614,LavaEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1111111111111111,LeaveOneOut(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10869565217391304,RandomEvaluator(),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1042830540037244,DataBanzhaf(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0936936936936937,DVRL(rl_epochs=2000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08807339449541285,DataOob(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07879924953095685,InfluenceSubsample(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24281150159744408,KNNShapley(k_neighbors=100),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.21092278719397364,LavaEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17880794701986755,RandomEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17701863354037267,LeaveOneOut(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17434210526315788,InfluenceSubsample(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16326530612244897,DVRL(rl_epochs=2000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16216216216216217,DataOob(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1596244131455399,DataBanzhaf(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.26776859504132233,KNNShapley(k_neighbors=100),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.19633943427620631,DVRL(rl_epochs=2000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16875,DataBanzhaf(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16404886561954624,LavaEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.155668358714044,InfluenceSubsample(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1543859649122807,RandomEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.15100671140939598,LeaveOneOut(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14402618657937807,DataOob(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.33948339483394835,KNNShapley(k_neighbors=100),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1916376306620209,LavaEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1812191103789127,InfluenceSubsample(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17627118644067796,DataOob(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17627118644067796,DVRL(rl_epochs=2000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17604617604617603,LeaveOneOut(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17263843648208468,RandomEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1564625850340136,DataBanzhaf(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.27384615384615385,KNNShapley(k_neighbors=100),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.20152091254752852,LavaEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.19145299145299147,InfluenceSubsample(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17207792207792208,RandomEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1652892561983471,DataBanzhaf(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16123499142367068,DataOob(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16123499142367068,DVRL(rl_epochs=2000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1449814126394052,LeaveOneOut(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.30115830115830117,KNNShapley(k_neighbors=100),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.19940476190476192,LeaveOneOut(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.19289340101522842,LavaEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.18021201413427562,RandomEvaluator(),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1614497528830313,InfluenceSubsample(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1509433962264151,DataBanzhaf(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14576271186440679,DataOob(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.14576271186440679,DVRL(rl_epochs=2000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),2dplanes,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.49800796812749004,KNNShapley(k_neighbors=100),2dplanes,0.15,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
