remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
0.7733333110809326,0.7773333191871643,0.0,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7753333449363708,0.7786666750907898,0.05,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7753333449363708,0.7770000100135803,0.1,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7743333578109741,0.7766666412353516,0.15,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7726666927337646,0.7683333158493042,0.2,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7746666669845581,0.7713333368301392,0.25,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7603333592414856,0.7720000147819519,0.3,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7576666474342346,0.7730000019073486,0.35,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7616666555404663,0.7639999985694885,0.4,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.765333354473114,0.7613333463668823,0.45,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7553333044052124,0.7613333463668823,0.5,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.753000020980835,0.781000018119812,0.55,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7493333220481873,0.7673333287239075,0.6,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7406666874885559,0.7450000047683716,0.65,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7266666889190674,0.7630000114440918,0.7,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7369999885559082,0.7493333220481873,0.75,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7536666393280029,0.762333333492279,0.8,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7283333539962769,0.746666669845581,0.85,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7246666550636292,0.7490000128746033,0.9,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7326666712760925,0.7206666469573975,0.95,RandomEvaluator(),MiniBooNE,0.05,logistic_regression
0.7676666378974915,0.7730000019073486,0.0,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.778333306312561,0.7803333401679993,0.05,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7773333191871643,0.7699999809265137,0.1,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7766666412353516,0.7723333239555359,0.15,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7739999890327454,0.7723333239555359,0.2,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7730000019073486,0.7663333415985107,0.25,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7723333239555359,0.7649999856948853,0.3,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7796666622161865,0.7603333592414856,0.35,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7829999923706055,0.7473333477973938,0.4,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7559999823570251,0.7423333525657654,0.45,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7639999985694885,0.75,0.5,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7693333625793457,0.75,0.55,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7739999890327454,0.7493333220481873,0.6,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.762666642665863,0.7513333559036255,0.65,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7566666603088379,0.7363333106040955,0.7,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7559999823570251,0.7239999771118164,0.75,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7613333463668823,0.734000027179718,0.8,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7523333430290222,0.7286666631698608,0.85,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7390000224113464,0.7173333168029785,0.9,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7269999980926514,0.7053333520889282,0.95,InfluenceSubsample(num_models=1000),MiniBooNE,0.05,logistic_regression
0.7706666588783264,0.7773333191871643,0.0,LeaveOneOut(),MiniBooNE,0.05,logistic_regression
