kmeans_f1,method,dataset,noise_rate,model
0.15384615384615385,KNNShapley(k_neighbors=100),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09683426443202979,DataBanzhaf(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09576427255985268,DataOob(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09342560553633218,DVRL(rl_epochs=2000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.091324200913242,InfluenceSubsample(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06909090909090909,RandomEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LeaveOneOut(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1411764705882353,KNNShapley(k_neighbors=100),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0898876404494382,DVRL(rl_epochs=2000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08971962616822429,DataOob(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08711433756805807,RandomEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07102803738317758,DataBanzhaf(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06993006993006994,InfluenceSubsample(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06741573033707865,LeaveOneOut(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13186813186813187,KNNShapley(k_neighbors=100),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1096938775510204,LeaveOneOut(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09660107334525939,InfluenceSubsample(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08502772643253234,DataOob(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08502772643253234,DVRL(rl_epochs=2000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08156028368794327,RandomEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07470288624787776,DataBanzhaf(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),electricity,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
