remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
0.6823333501815796,0.6726666688919067,0.0,RandomEvaluator(),electricity,0.05,logistic_regression
0.6693333387374878,0.6703333258628845,0.05,RandomEvaluator(),electricity,0.05,logistic_regression
0.6756666898727417,0.6703333258628845,0.1,RandomEvaluator(),electricity,0.05,logistic_regression
0.6740000247955322,0.6713333129882812,0.15,RandomEvaluator(),electricity,0.05,logistic_regression
0.671999990940094,0.6729999780654907,0.2,RandomEvaluator(),electricity,0.05,logistic_regression
0.6683333516120911,0.6643333435058594,0.25,RandomEvaluator(),electricity,0.05,logistic_regression
0.6650000214576721,0.6669999957084656,0.3,RandomEvaluator(),electricity,0.05,logistic_regression
0.6713333129882812,0.6603333353996277,0.35,RandomEvaluator(),electricity,0.05,logistic_regression
0.6713333129882812,0.6639999747276306,0.4,RandomEvaluator(),electricity,0.05,logistic_regression
0.6626666784286499,0.6639999747276306,0.45,RandomEvaluator(),electricity,0.05,logistic_regression
0.6623333096504211,0.6583333611488342,0.5,RandomEvaluator(),electricity,0.05,logistic_regression
0.6650000214576721,0.656000018119812,0.55,RandomEvaluator(),electricity,0.05,logistic_regression
0.6620000004768372,0.656333327293396,0.6,RandomEvaluator(),electricity,0.05,logistic_regression
0.6543333530426025,0.640999972820282,0.65,RandomEvaluator(),electricity,0.05,logistic_regression
0.652999997138977,0.6359999775886536,0.7,RandomEvaluator(),electricity,0.05,logistic_regression
0.6190000176429749,0.6240000128746033,0.75,RandomEvaluator(),electricity,0.05,logistic_regression
0.6276666522026062,0.6343333125114441,0.8,RandomEvaluator(),electricity,0.05,logistic_regression
0.6256666779518127,0.5913333296775818,0.85,RandomEvaluator(),electricity,0.05,logistic_regression
0.5979999899864197,0.5693333148956299,0.9,RandomEvaluator(),electricity,0.05,logistic_regression
0.4986666738986969,0.5370000004768372,0.95,RandomEvaluator(),electricity,0.05,logistic_regression
0.67166668176651,0.6723333597183228,0.0,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.671999990940094,0.6696666479110718,0.05,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6776666641235352,0.6706666946411133,0.1,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6736666560173035,0.6740000247955322,0.15,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6746666431427002,0.668666660785675,0.2,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6743333339691162,0.6703333258628845,0.25,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.668666660785675,0.6620000004768372,0.3,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6656666398048401,0.6633333563804626,0.35,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6663333177566528,0.6610000133514404,0.4,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6639999747276306,0.656333327293396,0.45,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6603333353996277,0.6526666879653931,0.5,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6579999923706055,0.6539999842643738,0.55,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6626666784286499,0.6553333401679993,0.6,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.656000018119812,0.6320000290870667,0.65,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.656333327293396,0.643666684627533,0.7,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6460000276565552,0.6306666731834412,0.75,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6399999856948853,0.6396666765213013,0.8,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.5826666951179504,0.5823333263397217,0.85,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.5573333501815796,0.5743333101272583,0.9,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.5116666555404663,0.5080000162124634,0.95,InfluenceSubsample(num_models=1000),electricity,0.05,logistic_regression
0.6693333387374878,0.6700000166893005,0.0,LeaveOneOut(),electricity,0.05,logistic_regression
0.6696666479110718,0.6723333597183228,0.05,LeaveOneOut(),electricity,0.05,logistic_regression
0.6729999780654907,0.675000011920929,0.1,LeaveOneOut(),electricity,0.05,logistic_regression
0.6723333597183228,0.6729999780654907,0.15,LeaveOneOut(),electricity,0.05,logistic_regression
0.6700000166893005,0.6713333129882812,0.2,LeaveOneOut(),electricity,0.05,logistic_regression
0.6700000166893005,0.6673333048820496,0.25,LeaveOneOut(),electricity,0.05,logistic_regression
0.6713333129882812,0.6666666865348816,0.3,LeaveOneOut(),electricity,0.05,logistic_regression
0.6710000038146973,0.6710000038146973,0.35,LeaveOneOut(),electricity,0.05,logistic_regression
0.6733333468437195,0.6669999957084656,0.4,LeaveOneOut(),electricity,0.05,logistic_regression
0.6676666736602783,0.6646666526794434,0.45,LeaveOneOut(),electricity,0.05,logistic_regression
0.6573333144187927,0.6643333435058594,0.5,LeaveOneOut(),electricity,0.05,logistic_regression
