kmeans_f1,method,dataset,noise_rate,model
0.1906779661016949,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10634648370497427,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09923664122137404,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09561752988047809,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09532888465204957,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09523809523809523,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0888030888030888,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08333333333333333,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08297567954220315,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.15819209039548024,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10909090909090909,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1016260162601626,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09908256880733946,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09908256880733946,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09560229445506692,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09225700164744646,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08823529411764706,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0748663101604278,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1749502982107356,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.116,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10869565217391304,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1076388888888889,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10357142857142858,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1005586592178771,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0759493670886076,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0748663101604278,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0392156862745098,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.21166306695464362,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10526315789473684,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10526315789473684,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10317460317460317,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0867992766726944,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08664259927797834,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08445297504798464,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.061895551257253385,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1694290976058932,KNNShapley(k_neighbors=100),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09603340292275574,LavaEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09532888465204957,AME(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08966861598440545,InfluenceSubsample(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08288288288288288,DVRL(rl_epochs=2000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08214285714285714,DataBanzhaf(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08118081180811808,RandomEvaluator(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08,DataOob(num_models=1000),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.06708595387840671,LeaveOneOut(),fried,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.2975778546712803,KNNShapley(k_neighbors=100),fried,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
