kmeans_f1,method,dataset,noise_rate,model
0.2184873949579832,LavaEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1928374655647383,KNNShapley(k_neighbors=100),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16524216524216523,DVRL(rl_epochs=2000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16524216524216523,DataOob(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09854014598540146,RandomEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09514563106796116,LeaveOneOut(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.075046904315197,DataBanzhaf(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07460035523978685,InfluenceSubsample(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.15141955835962145,KNNShapley(k_neighbors=100),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.12790697674418605,DataOob(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0970873786407767,LeaveOneOut(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09532888465204957,AME(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09292035398230089,DVRL(rl_epochs=2000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08981001727115717,DataBanzhaf(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0743362831858407,RandomEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07407407407407407,InfluenceSubsample(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.024691358024691357,LavaEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.22123893805309736,KNNShapley(k_neighbors=100),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13872832369942195,DataOob(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13872832369942195,DVRL(rl_epochs=2000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09819639278557114,LeaveOneOut(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09551098376313276,AME(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0880281690140845,RandomEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08650519031141868,InfluenceSubsample(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0759493670886076,LavaEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07063197026022305,DataBanzhaf(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.325,LavaEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.23255813953488372,KNNShapley(k_neighbors=100),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.1411764705882353,DataOob(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.11252268602540835,RandomEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.09375,DVRL(rl_epochs=2000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08818342151675485,DataBanzhaf(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,InfluenceSubsample(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LeaveOneOut(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.18181818181818182,KNNShapley(k_neighbors=100),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13440860215053763,DataOob(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13440860215053763,DVRL(rl_epochs=2000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.10040983606557377,LeaveOneOut(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08741258741258741,DataBanzhaf(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.08710217755443886,InfluenceSubsample(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.07787610619469026,RandomEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),nomao,0.05,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.2931937172774869,KNNShapley(k_neighbors=100),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.2835820895522388,DataOob(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.2835820895522388,DVRL(rl_epochs=2000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.18210361067503925,InfluenceSubsample(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17607655502392344,LeaveOneOut(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17543859649122806,RandomEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16943521594684385,DataBanzhaf(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.3137254901960784,KNNShapley(k_neighbors=100),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24401913875598086,DataOob(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24401913875598086,DVRL(rl_epochs=2000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17857142857142858,RandomEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.17350157728706625,InfluenceSubsample(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.16632443531827515,LeaveOneOut(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.15834767641996558,DataBanzhaf(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,LavaEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24784853700516352,DVRL(rl_epochs=2000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24664879356568364,KNNShapley(k_neighbors=100),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.24210526315789474,DataOob(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.13036020583190394,RandomEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.019801980198019802,LavaEvaluator(),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,AME(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
0.0,DataBanzhaf(num_models=1000),nomao,0.1,"classifiermlp (epochs=5, batch_size=128, lr=0.1)"
