remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
0.8619999885559082,0.8733333349227905,0.0,RandomEvaluator(),nomao,0.05,logistic_regression
0.862333357334137,0.8673333525657654,0.05,RandomEvaluator(),nomao,0.05,logistic_regression
0.8686666488647461,0.8566666841506958,0.1,RandomEvaluator(),nomao,0.05,logistic_regression
0.8646666407585144,0.8659999966621399,0.15,RandomEvaluator(),nomao,0.05,logistic_regression
0.8516666889190674,0.8556666374206543,0.2,RandomEvaluator(),nomao,0.05,logistic_regression
0.8606666922569275,0.8526666760444641,0.25,RandomEvaluator(),nomao,0.05,logistic_regression
0.8603333234786987,0.8603333234786987,0.3,RandomEvaluator(),nomao,0.05,logistic_regression
0.856333315372467,0.847000002861023,0.35,RandomEvaluator(),nomao,0.05,logistic_regression
0.8560000061988831,0.859000027179718,0.4,RandomEvaluator(),nomao,0.05,logistic_regression
0.8550000190734863,0.8579999804496765,0.45,RandomEvaluator(),nomao,0.05,logistic_regression
0.8510000109672546,0.8496666550636292,0.5,RandomEvaluator(),nomao,0.05,logistic_regression
0.8523333072662354,0.8539999723434448,0.55,RandomEvaluator(),nomao,0.05,logistic_regression
0.8503333330154419,0.8443333506584167,0.6,RandomEvaluator(),nomao,0.05,logistic_regression
0.8539999723434448,0.8420000076293945,0.65,RandomEvaluator(),nomao,0.05,logistic_regression
0.8453333377838135,0.8463333249092102,0.7,RandomEvaluator(),nomao,0.05,logistic_regression
0.8539999723434448,0.8263333439826965,0.75,RandomEvaluator(),nomao,0.05,logistic_regression
0.8473333120346069,0.8263333439826965,0.8,RandomEvaluator(),nomao,0.05,logistic_regression
0.8386666774749756,0.82833331823349,0.85,RandomEvaluator(),nomao,0.05,logistic_regression
0.8233333230018616,0.8190000057220459,0.9,RandomEvaluator(),nomao,0.05,logistic_regression
0.8173333406448364,0.7926666736602783,0.95,RandomEvaluator(),nomao,0.05,logistic_regression
0.8546666502952576,0.8763333559036255,0.0,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.859000027179718,0.8566666841506958,0.05,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.859000027179718,0.8573333621025085,0.1,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8546666502952576,0.8633333444595337,0.15,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8673333525657654,0.8556666374206543,0.2,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8610000014305115,0.8573333621025085,0.25,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8603333234786987,0.8629999756813049,0.3,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8533333539962769,0.8679999709129333,0.35,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.856333315372467,0.862333357334137,0.4,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8496666550636292,0.8606666922569275,0.45,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8519999980926514,0.8610000014305115,0.5,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.843999981880188,0.8560000061988831,0.55,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8453333377838135,0.847000002861023,0.6,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8366666436195374,0.8443333506584167,0.65,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8309999704360962,0.8396666646003723,0.7,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8423333168029785,0.8303333520889282,0.75,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8336666822433472,0.8273333311080933,0.8,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8230000138282776,0.8243333101272583,0.85,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8140000104904175,0.8206666707992554,0.9,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8036666512489319,0.7803333401679993,0.95,InfluenceSubsample(num_models=1000),nomao,0.05,logistic_regression
0.8656666874885559,0.8650000095367432,0.0,LeaveOneOut(),nomao,0.05,logistic_regression
0.8553333282470703,0.8646666407585144,0.05,LeaveOneOut(),nomao,0.05,logistic_regression
0.8636666536331177,0.8583333492279053,0.1,LeaveOneOut(),nomao,0.05,logistic_regression
0.8606666922569275,0.8600000143051147,0.15,LeaveOneOut(),nomao,0.05,logistic_regression
0.859666645526886,0.8573333621025085,0.2,LeaveOneOut(),nomao,0.05,logistic_regression
0.8600000143051147,0.8550000190734863,0.25,LeaveOneOut(),nomao,0.05,logistic_regression
0.8659999966621399,0.8576666712760925,0.3,LeaveOneOut(),nomao,0.05,logistic_regression
0.8600000143051147,0.8550000190734863,0.35,LeaveOneOut(),nomao,0.05,logistic_regression
0.8489999771118164,0.8516666889190674,0.4,LeaveOneOut(),nomao,0.05,logistic_regression
0.8550000190734863,0.8513333201408386,0.45,LeaveOneOut(),nomao,0.05,logistic_regression
0.8579999804496765,0.8486666679382324,0.5,LeaveOneOut(),nomao,0.05,logistic_regression
0.8550000190734863,0.843666672706604,0.55,LeaveOneOut(),nomao,0.05,logistic_regression
0.8516666889190674,0.8446666598320007,0.6,LeaveOneOut(),nomao,0.05,logistic_regression
0.8396666646003723,0.8360000252723694,0.65,LeaveOneOut(),nomao,0.05,logistic_regression
0.8519999980926514,0.8363333344459534,0.7,LeaveOneOut(),nomao,0.05,logistic_regression
