remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
0.7903333306312561,0.7896666526794434,0.0,RandomEvaluator(),pol,0.05,logistic_regression
0.7979999780654907,0.7886666655540466,0.05,RandomEvaluator(),pol,0.05,logistic_regression
0.7889999747276306,0.7960000038146973,0.1,RandomEvaluator(),pol,0.05,logistic_regression
0.7789999842643738,0.7946666479110718,0.15,RandomEvaluator(),pol,0.05,logistic_regression
0.7826666831970215,0.8016666769981384,0.2,RandomEvaluator(),pol,0.05,logistic_regression
0.7696666717529297,0.7883333563804626,0.25,RandomEvaluator(),pol,0.05,logistic_regression
0.7730000019073486,0.7850000262260437,0.3,RandomEvaluator(),pol,0.05,logistic_regression
0.7713333368301392,0.7776666879653931,0.35,RandomEvaluator(),pol,0.05,logistic_regression
0.765999972820282,0.7823333144187927,0.4,RandomEvaluator(),pol,0.05,logistic_regression
0.7689999938011169,0.7613333463668823,0.45,RandomEvaluator(),pol,0.05,logistic_regression
0.762333333492279,0.7566666603088379,0.5,RandomEvaluator(),pol,0.05,logistic_regression
0.7693333625793457,0.7696666717529297,0.55,RandomEvaluator(),pol,0.05,logistic_regression
0.7540000081062317,0.7353333234786987,0.6,RandomEvaluator(),pol,0.05,logistic_regression
0.7300000190734863,0.7423333525657654,0.65,RandomEvaluator(),pol,0.05,logistic_regression
0.7233333587646484,0.6963333487510681,0.7,RandomEvaluator(),pol,0.05,logistic_regression
0.7363333106040955,0.7110000252723694,0.75,RandomEvaluator(),pol,0.05,logistic_regression
0.6803333163261414,0.6973333358764648,0.8,RandomEvaluator(),pol,0.05,logistic_regression
0.6646666526794434,0.67166668176651,0.85,RandomEvaluator(),pol,0.05,logistic_regression
0.6743333339691162,0.6830000281333923,0.9,RandomEvaluator(),pol,0.05,logistic_regression
0.640666663646698,0.6326666474342346,0.95,RandomEvaluator(),pol,0.05,logistic_regression
0.7946666479110718,0.8050000071525574,0.0,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7826666831970215,0.8069999814033508,0.05,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7896666526794434,0.7916666865348816,0.1,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7946666479110718,0.7836666703224182,0.15,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7829999923706055,0.7833333611488342,0.2,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7833333611488342,0.7950000166893005,0.25,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7823333144187927,0.7760000228881836,0.3,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7856666445732117,0.7633333206176758,0.35,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7646666765213013,0.7519999742507935,0.4,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7630000114440918,0.7590000033378601,0.45,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7673333287239075,0.75,0.5,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.768666684627533,0.7390000224113464,0.55,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.7603333592414856,0.7390000224113464,0.6,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
0.75,0.7549999952316284,0.65,InfluenceSubsample(num_models=1000),pol,0.05,logistic_regression
