kmeans_f1,method,dataset,noise_rate,model
0.29906542056074764,DVRL(rl_epochs=2000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1360544217687075,KNNShapley(k_neighbors=100),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09302325581395349,RandomEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0273972602739726,LavaEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.12327044025157233,KNNShapley(k_neighbors=100),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.074487895716946,RandomEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.034782608695652174,DVRL(rl_epochs=2000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LavaEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.11586901763224182,KNNShapley(k_neighbors=100),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10877192982456141,RandomEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.05521472392638037,DVRL(rl_epochs=2000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LavaEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.12553495007132667,KNNShapley(k_neighbors=100),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09689922480620156,RandomEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.06802721088435375,DVRL(rl_epochs=2000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LavaEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.2305084745762712,DVRL(rl_epochs=2000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.11457036114570361,KNNShapley(k_neighbors=100),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09358752166377816,RandomEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.02531645569620253,LavaEvaluator(),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
