remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.2518858313560486,-0.2518858313560486,0.0,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.25490427017211914,-0.25373566150665283,0.05,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2543368637561798,-0.25210991501808167,0.1,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2546007037162781,-0.25267109274864197,0.15,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.25953060388565063,-0.2569285035133362,0.2,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.25867536664009094,-0.26586252450942993,0.25,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2658500075340271,-0.2966267168521881,0.3,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.26829007267951965,-0.3009141683578491,0.35,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.27365726232528687,-0.2957586944103241,0.4,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2854318618774414,-0.2961632013320923,0.45,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3006746172904968,-0.2890476584434509,0.5,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.30800631642341614,-0.290499210357666,0.55,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3238620162010193,-0.28208044171333313,0.6,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3424816131591797,-0.28537702560424805,0.65,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3556392788887024,-0.27958112955093384,0.7,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.47059956192970276,-0.29391857981681824,0.75,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.515275239944458,-0.3102669417858124,0.8,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.6695363521575928,-0.2994365096092224,0.85,RandomEvaluator(),cpu_activity,0.05,linear_regression
-1.2812734842300415,-0.3525081276893616,0.9,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.6801871061325073,-0.4351869821548462,0.95,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2518857717514038,-0.2518857717514038,0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.25500568747520447,-0.24975503981113434,0.05,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.25755929946899414,-0.2504953145980835,0.1,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.25770729780197144,-0.2533874809741974,0.15,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.2914884388446808,-0.2551344633102417,0.2,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.2956009805202484,-0.2589910328388214,0.25,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.298138290643692,-0.2602163553237915,0.3,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29400816559791565,-0.2599545419216156,0.35,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.290995329618454,-0.2646237313747406,0.4,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.28689852356910706,-0.273495614528656,0.45,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29040542244911194,-0.27556997537612915,0.5,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.28044047951698303,-0.2953347861766815,0.55,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.292960524559021,-0.3176972568035126,0.6,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29824700951576233,-0.3146076798439026,0.65,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.27926427125930786,-0.3300332725048065,0.7,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.2984960377216339,-0.3901585340499878,0.75,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.3813817501068115,-0.4713120460510254,0.8,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-1.0020703077316284,-0.354938805103302,0.85,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-4.348607540130615,-0.33810994029045105,0.9,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-2.893733024597168,-34.903167724609375,0.95,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.2518857717514038,-0.2518857717514038,0.0,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.25500568747520447,-0.24975503981113434,0.05,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.25755929946899414,-0.2504953145980835,0.1,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.25770729780197144,-0.2533874809741974,0.15,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.2914884388446808,-0.2551344633102417,0.2,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.2956009805202484,-0.2589910328388214,0.25,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.298138290643692,-0.2602163553237915,0.3,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.29400816559791565,-0.2599545419216156,0.35,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.290995329618454,-0.2646237313747406,0.4,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.28689852356910706,-0.273495614528656,0.45,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.29040542244911194,-0.27556997537612915,0.5,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.28044047951698303,-0.2953347861766815,0.55,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.292960524559021,-0.3176972568035126,0.6,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.29824700951576233,-0.3146076798439026,0.65,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.27926427125930786,-0.3300332725048065,0.7,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.2984960377216339,-0.3901585340499878,0.75,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.3813817501068115,-0.4713120460510254,0.8,LeaveOneOut(),cpu_activity,0.05,linear_regression
-1.0020703077316284,-0.354938805103302,0.85,LeaveOneOut(),cpu_activity,0.05,linear_regression
-4.348607540130615,-0.33810994029045105,0.9,LeaveOneOut(),cpu_activity,0.05,linear_regression
-2.893733024597168,-34.903167724609375,0.95,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.2518857717514038,-0.2518857717514038,0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.25500568747520447,-0.24975503981113434,0.05,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.25755929946899414,-0.2504953145980835,0.1,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.25770729780197144,-0.2533874809741974,0.15,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.2914884388446808,-0.2551344633102417,0.2,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
