remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.45881205797195435,-0.45881205797195435,0.0,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4817464053630829,-0.46368616819381714,0.05,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4945976436138153,-0.46669507026672363,0.1,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4861479103565216,-0.4951167106628418,0.15,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4794253408908844,-0.5117191672325134,0.2,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4638621509075165,-0.5011497735977173,0.25,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4579084515571594,-0.4872278571128845,0.3,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.45044857263565063,-0.46489661931991577,0.35,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4705375134944916,-0.45891812443733215,0.4,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.46205127239227295,-0.45934292674064636,0.45,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.4658636152744293,-0.5608757734298706,0.5,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.6889835596084595,-0.7396554946899414,0.55,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.7018091678619385,-0.7177366614341736,0.6,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.7030724287033081,-0.711061418056488,0.65,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.6170996427536011,-0.67791748046875,0.7,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5945465564727783,-0.6510635018348694,0.75,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5258135795593262,-0.6274042725563049,0.8,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5263804197311401,-0.5392126441001892,0.85,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5725137591362,-0.4221595823764801,0.9,RandomEvaluator(),cpu_activity,0.05,linear_regression
-3.0884625911712646,-0.7701781988143921,0.95,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.45881205797195435,-0.45881205797195435,0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.45908716320991516,-0.4482841491699219,0.05,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.582682192325592,-0.4386295974254608,0.1,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5858364105224609,-0.4376325011253357,0.15,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5829043388366699,-0.42705225944519043,0.2,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5642533898353577,-0.4323597550392151,0.25,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5735924243927002,-0.4305988848209381,0.3,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.568959653377533,-0.41014397144317627,0.35,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5618292093276978,-0.4219951629638672,0.4,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.5696138739585876,-0.38478490710258484,0.45,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.637244462966919,-0.4159075617790222,0.5,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.6736916303634644,-0.4071080684661865,0.55,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.6966972947120667,-0.4969581663608551,0.6,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.7952539324760437,-0.4739344120025635,0.65,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.878699779510498,-0.5073097348213196,0.7,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.8969578742980957,-0.7409622669219971,0.75,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.9189113974571228,-0.6348617076873779,0.8,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-1.07111656665802,-0.8784290552139282,0.85,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-1.0567415952682495,-0.5716007351875305,0.9,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-4.701381683349609,-1.1872260570526123,0.95,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.45881205797195435,-0.45881205797195435,0.0,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.45908716320991516,-0.4482841491699219,0.05,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.582682192325592,-0.4386295974254608,0.1,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5858364105224609,-0.4376325011253357,0.15,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5829043388366699,-0.42705225944519043,0.2,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5642533898353577,-0.4323597550392151,0.25,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5735924243927002,-0.4305988848209381,0.3,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.568959653377533,-0.41014397144317627,0.35,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5618292093276978,-0.4219951629638672,0.4,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.5696138739585876,-0.38478490710258484,0.45,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.637244462966919,-0.4159075617790222,0.5,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.6736916303634644,-0.4071080684661865,0.55,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.6966972947120667,-0.4969581663608551,0.6,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.7952539324760437,-0.4739344120025635,0.65,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.878699779510498,-0.5073097348213196,0.7,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.8969578742980957,-0.7409622669219971,0.75,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.9189113974571228,-0.6348617076873779,0.8,LeaveOneOut(),cpu_activity,0.05,linear_regression
-1.07111656665802,-0.8784290552139282,0.85,LeaveOneOut(),cpu_activity,0.05,linear_regression
-1.0567415952682495,-0.5716007351875305,0.9,LeaveOneOut(),cpu_activity,0.05,linear_regression
-4.701381683349609,-1.1872260570526123,0.95,LeaveOneOut(),cpu_activity,0.05,linear_regression
-0.45881205797195435,-0.45881205797195435,0.0,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.45908716320991516,-0.4482841491699219,0.05,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.582682192325592,-0.4386295974254608,0.1,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
-0.5858364105224609,-0.4376325011253357,0.15,DataBanzhaf(num_models=1000),cpu_activity,0.05,linear_regression
