remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.29337799549102783,-0.29337799549102783,0.0,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2948962450027466,-0.2970617413520813,0.05,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2959866225719452,-0.3048979341983795,0.1,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29395079612731934,-0.3104768395423889,0.15,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29476669430732727,-0.317030668258667,0.2,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29523593187332153,-0.3287757635116577,0.25,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29403239488601685,-0.3576926290988922,0.3,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2901751399040222,-0.37649065256118774,0.35,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2935344874858856,-0.3683336675167084,0.4,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29511862993240356,-0.36389583349227905,0.45,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.2977769672870636,-0.3719598650932312,0.5,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3069937229156494,-0.3714921772480011,0.55,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3071313202381134,-0.38637906312942505,0.6,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3085695803165436,-0.3822329044342041,0.65,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.32798925042152405,-0.42275235056877136,0.7,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.3072308301925659,-0.36362606287002563,0.75,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5107699632644653,-0.36430707573890686,0.8,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5354796648025513,-0.4441342353820801,0.85,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.5970227122306824,-0.4283354878425598,0.9,RandomEvaluator(),cpu_activity,0.05,linear_regression
-10.83405876159668,-6.917282581329346,0.95,RandomEvaluator(),cpu_activity,0.05,linear_regression
-0.29337793588638306,-0.29337793588638306,0.0,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.293148934841156,-0.3005034029483795,0.05,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29057174921035767,-0.3020756244659424,0.1,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29232269525527954,-0.30316925048828125,0.15,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
-0.29254254698753357,-0.29445916414260864,0.2,InfluenceSubsample(num_models=1000),cpu_activity,0.05,linear_regression
