remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.5713565349578857,-0.5713565349578857,0.0,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5715270042419434,-0.5725147128105164,0.05,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5716171860694885,-0.573047935962677,0.1,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5710788369178772,-0.5730308294296265,0.15,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5716524124145508,-0.5727217197418213,0.2,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.572848379611969,-0.5717515349388123,0.25,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5737220048904419,-0.5726204514503479,0.3,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5745008587837219,-0.5715554356575012,0.35,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5745179057121277,-0.5710688233375549,0.4,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5782672762870789,-0.570279061794281,0.45,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5833762884140015,-0.5728955268859863,0.5,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5852677226066589,-0.5767735242843628,0.55,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5813982486724854,-0.5817094445228577,0.6,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5793029069900513,-0.5823153257369995,0.65,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5789342522621155,-0.5868257880210876,0.7,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5836145281791687,-0.5887318253517151,0.75,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5848708748817444,-0.598100483417511,0.8,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6139332056045532,-0.5840453505516052,0.85,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6071564555168152,-0.6010403037071228,0.9,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6663644313812256,-0.6760817170143127,0.95,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5713565349578857,-0.5713565349578857,0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5714701414108276,-0.5716642141342163,0.05,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5719074010848999,-0.5704237222671509,0.1,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5706472992897034,-0.5715683102607727,0.15,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.570239245891571,-0.5726228356361389,0.2,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5678603649139404,-0.572415828704834,0.25,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5683319568634033,-0.5705520510673523,0.3,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5691850781440735,-0.5716034770011902,0.35,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5702846646308899,-0.574460506439209,0.4,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5723072290420532,-0.575232744216919,0.45,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5715844035148621,-0.582348644733429,0.5,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5753446221351624,-0.5861689448356628,0.55,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.576626181602478,-0.5885980725288391,0.6,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.580625593662262,-0.5974909067153931,0.65,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5836713314056396,-0.6120223999023438,0.7,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5815815329551697,-0.611983597278595,0.75,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5868179798126221,-0.6371151804924011,0.8,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5844998955726624,-0.6202073693275452,0.85,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.606368899345398,-0.6195598840713501,0.9,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6361013650894165,-0.6903508901596069,0.95,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5713565349578857,-0.5713565349578857,0.0,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5714701414108276,-0.5716642141342163,0.05,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5719074010848999,-0.5704237222671509,0.1,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5706472992897034,-0.5715683102607727,0.15,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.570239245891571,-0.5726228356361389,0.2,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5678603649139404,-0.572415828704834,0.25,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5683319568634033,-0.5705520510673523,0.3,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5691850781440735,-0.5716034770011902,0.35,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5702846646308899,-0.574460506439209,0.4,LeaveOneOut(),kin8nm,0.05,linear_regression
