kmeans_f1,method,dataset,noise_rate,model
0.24836601307189543,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1509433962264151,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.07707129094412331,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.2052980132450331,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.11510791366906475,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09454545454545454,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
