remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.5902559161186218,-0.5902559161186218,0.0,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5907400846481323,-0.5900104641914368,0.05,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5900874137878418,-0.5906617641448975,0.1,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5898054838180542,-0.5903965830802917,0.15,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5910252928733826,-0.5879663825035095,0.2,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5937932133674622,-0.5879344940185547,0.25,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5935450196266174,-0.5902112126350403,0.3,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5953288674354553,-0.5903133749961853,0.35,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5949494242668152,-0.5918378829956055,0.4,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5942850708961487,-0.5919716954231262,0.45,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.598240077495575,-0.5909842252731323,0.5,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6015505194664001,-0.592454731464386,0.55,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5979123711585999,-0.5946833491325378,0.6,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6038327813148499,-0.5999984741210938,0.65,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6045435667037964,-0.6085676550865173,0.7,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6338124871253967,-0.6135303378105164,0.75,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6347278356552124,-0.6167140007019043,0.8,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6171895265579224,-0.6433294415473938,0.85,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6234762668609619,-0.677370548248291,0.9,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.7159517407417297,-0.657662034034729,0.95,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5902559161186218,-0.5902559161186218,0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5912149548530579,-0.5916566252708435,0.05,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5905686616897583,-0.5924855470657349,0.1,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5907866358757019,-0.5908898711204529,0.15,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5902741551399231,-0.5891920924186707,0.2,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5915733575820923,-0.5891730189323425,0.25,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5894713401794434,-0.5899134278297424,0.3,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5865398645401001,-0.5920813679695129,0.35,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5891178250312805,-0.5909697413444519,0.4,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5921025276184082,-0.5940113663673401,0.45,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6000081896781921,-0.5916616916656494,0.5,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6015745997428894,-0.5988737940788269,0.55,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6066036820411682,-0.6011834144592285,0.6,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6153723001480103,-0.6125854253768921,0.65,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6169995069503784,-0.6178078651428223,0.7,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
