corrupt_found,axis,optimal,random,method,dataset,noise_rate,model
0.0,0.0,0.0,0.0,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.04,0.047619047619047616,0.9523809523809523,0.047619047619047616,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08,0.09523809523809523,1.0,0.09523809523809523,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1,0.14285714285714285,1.0,0.14285714285714285,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16,0.19047619047619047,1.0,0.19047619047619047,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16,0.23809523809523808,1.0,0.23809523809523808,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.24,0.2857142857142857,1.0,0.2857142857142857,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.3,0.3333333333333333,1.0,0.3333333333333333,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.3,0.38095238095238093,1.0,0.38095238095238093,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.38,0.42857142857142855,1.0,0.42857142857142855,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.46,0.47619047619047616,1.0,0.47619047619047616,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.48,0.5238095238095238,1.0,0.5238095238095238,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.5,0.5714285714285714,1.0,0.5714285714285714,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.56,0.6190476190476191,1.0,0.6190476190476191,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.64,0.6666666666666666,1.0,0.6666666666666666,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.66,0.7142857142857143,1.0,0.7142857142857143,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.8,0.7619047619047619,1.0,0.7619047619047619,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.9,0.8095238095238095,1.0,0.8095238095238095,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.92,0.8571428571428571,1.0,0.8571428571428571,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.98,0.9047619047619048,1.0,0.9047619047619048,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
1.0,0.9523809523809523,1.0,0.9523809523809523,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,0.0,0.0,0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.04,0.047619047619047616,0.9523809523809523,0.047619047619047616,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1,0.09523809523809523,1.0,0.09523809523809523,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.14,0.14285714285714285,1.0,0.14285714285714285,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.18,0.19047619047619047,1.0,0.19047619047619047,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.28,0.23809523809523808,1.0,0.23809523809523808,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.36,0.2857142857142857,1.0,0.2857142857142857,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.42,0.3333333333333333,1.0,0.3333333333333333,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.46,0.38095238095238093,1.0,0.38095238095238093,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.48,0.42857142857142855,1.0,0.42857142857142855,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.52,0.47619047619047616,1.0,0.47619047619047616,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.62,0.5238095238095238,1.0,0.5238095238095238,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.68,0.5714285714285714,1.0,0.5714285714285714,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.74,0.6190476190476191,1.0,0.6190476190476191,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
