kmeans_f1,method,dataset,noise_rate,model
0.10126582278481013,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08540925266903915,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.04428044280442804,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10320284697508897,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08349900596421471,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.05269461077844311,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10416666666666667,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09145129224652088,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.04693877551020408,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1492007104795737,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.11385199240986717,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09473684210526316,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16161616161616163,DVRL(rl_epochs=2000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09302325581395349,RandomEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.05668016194331984,LavaEvaluator(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.3258785942492013,DVRL(rl_epochs=2000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1675213675213675,RandomEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.145610278372591,LavaEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1485148514851485,RandomEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.13533834586466165,LavaEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.06729475100942127,DVRL(rl_epochs=2000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1870748299319728,RandomEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.15045871559633028,LavaEvaluator(),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0989010989010989,DVRL(rl_epochs=2000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),kin8nm,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
