remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.5693216323852539,-0.5693216323852539,0.0,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5699955821037292,-0.5675081610679626,0.05,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5692824125289917,-0.5670905709266663,0.1,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5690503120422363,-0.5661044120788574,0.15,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5710489749908447,-0.5672814249992371,0.2,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5727289915084839,-0.5687016844749451,0.25,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5684885382652283,-0.5692396759986877,0.3,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5712613463401794,-0.5708942413330078,0.35,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5722680687904358,-0.5711091160774231,0.4,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5728622078895569,-0.5710534453392029,0.45,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.571458101272583,-0.5730505585670471,0.5,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5776345133781433,-0.5821214914321899,0.55,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5777512788772583,-0.5867874622344971,0.6,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5869404673576355,-0.5912755131721497,0.65,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5856087803840637,-0.5817177295684814,0.7,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5937372446060181,-0.585909903049469,0.75,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6024929881095886,-0.6036924719810486,0.8,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6286473274230957,-0.6387212872505188,0.85,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.6564125418663025,-0.648165762424469,0.9,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.7916998863220215,-0.71554034948349,0.95,RandomEvaluator(),kin8nm,0.05,linear_regression
-0.5693216323852539,-0.5693216323852539,0.0,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5692842602729797,-0.5707825422286987,0.05,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5692830085754395,-0.5711218118667603,0.1,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5697022080421448,-0.5708412528038025,0.15,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5688934922218323,-0.5696324706077576,0.2,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5715681910514832,-0.5676006078720093,0.25,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5694993138313293,-0.5695756077766418,0.3,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5670565366744995,-0.5713489651679993,0.35,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5679363012313843,-0.5756511092185974,0.4,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5688756704330444,-0.5790069699287415,0.45,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.567878007888794,-0.581104576587677,0.5,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5693085193634033,-0.5811717510223389,0.55,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5689459443092346,-0.5866695642471313,0.6,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5777011513710022,-0.5850560665130615,0.65,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5835539698600769,-0.5751447677612305,0.7,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5837367177009583,-0.5806835293769836,0.75,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5930689573287964,-0.5885575413703918,0.8,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6063256859779358,-0.6069944500923157,0.85,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6150169968605042,-0.6134132146835327,0.9,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.6834561228752136,-0.6555529832839966,0.95,InfluenceSubsample(num_models=1000),kin8nm,0.05,linear_regression
-0.5693216323852539,-0.5693216323852539,0.0,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5692842602729797,-0.5707825422286987,0.05,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5692830085754395,-0.5711218118667603,0.1,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5697022080421448,-0.5708412528038025,0.15,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5688934922218323,-0.5696324706077576,0.2,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5715681910514832,-0.5676006078720093,0.25,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5694993138313293,-0.5695756077766418,0.3,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5670565366744995,-0.5713489651679993,0.35,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5679363012313843,-0.5756511092185974,0.4,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5688756704330444,-0.5790069699287415,0.45,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.567878007888794,-0.581104576587677,0.5,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5693085193634033,-0.5811717510223389,0.55,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5689459443092346,-0.5866695642471313,0.6,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5777011513710022,-0.5850560665130615,0.65,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5835539698600769,-0.5751447677612305,0.7,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5837367177009583,-0.5806835293769836,0.75,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5930689573287964,-0.5885575413703918,0.8,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.6063256859779358,-0.6069944500923157,0.85,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.6150169968605042,-0.6134132146835327,0.9,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.6834561228752136,-0.6555529832839966,0.95,LeaveOneOut(),kin8nm,0.05,linear_regression
-0.5693216323852539,-0.5693216323852539,0.0,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5692842602729797,-0.5707825422286987,0.05,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5692830085754395,-0.5711218118667603,0.1,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5697022080421448,-0.5708412528038025,0.15,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5688934922218323,-0.5696324706077576,0.2,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5715681910514832,-0.5676006078720093,0.25,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5694993138313293,-0.5695756077766418,0.3,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5670565366744995,-0.5713489651679993,0.35,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5679363012313843,-0.5756511092185974,0.4,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5688756704330444,-0.5790069699287415,0.45,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.567878007888794,-0.581104576587677,0.5,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5693085193634033,-0.5811717510223389,0.55,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5689459443092346,-0.5866695642471313,0.6,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5777011513710022,-0.5850560665130615,0.65,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5835539698600769,-0.5751447677612305,0.7,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5837367177009583,-0.5806835293769836,0.75,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5930689573287964,-0.5885575413703918,0.8,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.6063256859779358,-0.6069944500923157,0.85,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.6150169968605042,-0.6134132146835327,0.9,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.6834561228752136,-0.6555529832839966,0.95,DataBanzhaf(num_models=1000),kin8nm,0.05,linear_regression
-0.5693216323852539,-0.5693216323852539,0.0,DataOob(num_models=1000),kin8nm,0.05,linear_regression
-0.5692842602729797,-0.5707825422286987,0.05,DataOob(num_models=1000),kin8nm,0.05,linear_regression
-0.5692830085754395,-0.5711218118667603,0.1,DataOob(num_models=1000),kin8nm,0.05,linear_regression
-0.5697022080421448,-0.5708412528038025,0.15,DataOob(num_models=1000),kin8nm,0.05,linear_regression
