kmeans_f1,method,dataset,noise_rate,model
0.1544885177453027,LavaEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09926470588235294,RandomEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08577405857740586,DVRL(rl_epochs=2000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,AME(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,DataOob(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,KNNShapley(k_neighbors=100),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0392156862745098,LeaveOneOut(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.12966601178781925,LavaEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10543657331136738,DVRL(rl_epochs=2000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10256410256410256,RandomEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.140625,LavaEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1343669250645995,DVRL(rl_epochs=2000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0782122905027933,RandomEvaluator(),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,KNNShapley(k_neighbors=100),pumadyn32nh,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
