remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.8701111078262329,-0.8701111078262329,0.0,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8699422478675842,-0.8721194863319397,0.05,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.87149578332901,-0.8737128973007202,0.1,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8727601170539856,-0.8722874522209167,0.15,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8727308511734009,-0.8810697197914124,0.2,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8767271041870117,-0.8749284148216248,0.25,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8760469555854797,-0.8804374933242798,0.3,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8690809011459351,-0.8836079239845276,0.35,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8792286515235901,-0.8776160478591919,0.4,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8814209699630737,-0.8850685358047485,0.45,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8923305869102478,-0.8829342722892761,0.5,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9067589640617371,-0.8888146281242371,0.55,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9208585619926453,-0.9011701941490173,0.6,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9208600521087646,-0.9106177687644958,0.65,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9668705463409424,-0.9155806303024292,0.7,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.0123587846755981,-0.9318414926528931,0.75,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9772470593452454,-0.941533625125885,0.8,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.1533147096633911,-0.9841558337211609,0.85,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.2626346349716187,-1.0712463855743408,0.9,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-2.1720354557037354,-3.207524061203003,0.95,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8701109886169434,-0.8701109886169434,0.0,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8731711506843567,-0.8768612742424011,0.05,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8726416826248169,-0.8836525678634644,0.1,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.865629255771637,-0.8791084885597229,0.15,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8743082880973816,-0.8805210590362549,0.2,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8806580305099487,-0.8869649767875671,0.25,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8831430077552795,-0.8899418711662292,0.3,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.880237877368927,-0.8940044045448303,0.35,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8760910034179688,-0.8999468684196472,0.4,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8840726613998413,-0.9023239016532898,0.45,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8782602548599243,-0.9127034544944763,0.5,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8859043121337891,-0.9192259311676025,0.55,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8968870639801025,-0.9446707963943481,0.6,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9334046244621277,-0.9263635277748108,0.65,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.944495439529419,-0.9525467157363892,0.7,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9042049050331116,-0.9786670207977295,0.75,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9655418395996094,-1.0508737564086914,0.8,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.045545220375061,-1.1627402305603027,0.85,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.2636570930480957,-1.1337298154830933,0.9,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-3.466702699661255,-1.7763725519180298,0.95,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8701109886169434,-0.8701109886169434,0.0,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8731711506843567,-0.8768612742424011,0.05,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
