remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.8854661583900452,-0.8854661583900452,0.0,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8794682025909424,-0.8867223858833313,0.05,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8785231709480286,-0.8884214162826538,0.1,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8844592571258545,-0.8897333741188049,0.15,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8830778002738953,-0.8928536772727966,0.2,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8824687600135803,-0.8966611623764038,0.25,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8865631222724915,-0.8985249996185303,0.3,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8887291550636292,-0.904282808303833,0.35,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8974114060401917,-0.9133087396621704,0.4,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9017781019210815,-0.916086733341217,0.45,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9186577200889587,-0.9150109887123108,0.5,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9354922771453857,-0.9288483262062073,0.55,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9286569952964783,-0.958363950252533,0.6,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9501373767852783,-0.9788656234741211,0.65,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9823103547096252,-0.9979318976402283,0.7,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9975013732910156,-1.0215603113174438,0.75,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.036303997039795,-1.0167611837387085,0.8,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.1189236640930176,-1.0837255716323853,0.85,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.3678420782089233,-1.289775013923645,0.9,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-5.5667009353637695,-2.1219351291656494,0.95,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8854662179946899,-0.8854662179946899,0.0,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.889413595199585,-0.8877585530281067,0.05,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8859506845474243,-0.89383465051651,0.1,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8888713121414185,-0.8900625705718994,0.15,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8901959657669067,-0.8908973932266235,0.2,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8935170769691467,-0.8945066928863525,0.25,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8967499136924744,-0.8991047143936157,0.3,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8985443711280823,-0.8970644474029541,0.35,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9070351719856262,-0.903149425983429,0.4,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9109414219856262,-0.905174970626831,0.45,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.911965012550354,-0.9203730225563049,0.5,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9308329224586487,-0.9315991997718811,0.55,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9321540594100952,-0.9243350625038147,0.6,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9385950565338135,-0.9383133053779602,0.65,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9342479109764099,-0.9289602637290955,0.7,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9688832759857178,-0.9456942677497864,0.75,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9637154936790466,-0.9610686898231506,0.8,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.0541647672653198,-0.9992735981941223,0.85,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.2600386142730713,-1.1881991624832153,0.9,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.9746721982955933,-2.138477087020874,0.95,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8854662179946899,-0.8854662179946899,0.0,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.889413595199585,-0.8877585530281067,0.05,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8859506845474243,-0.89383465051651,0.1,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8888713121414185,-0.8900625705718994,0.15,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8901959657669067,-0.8908973932266235,0.2,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8935170769691467,-0.8945066928863525,0.25,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8967499136924744,-0.8991047143936157,0.3,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8985443711280823,-0.8970644474029541,0.35,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9070351719856262,-0.903149425983429,0.4,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9109414219856262,-0.905174970626831,0.45,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.911965012550354,-0.9203730225563049,0.5,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9308329224586487,-0.9315991997718811,0.55,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9321540594100952,-0.9243350625038147,0.6,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9385950565338135,-0.9383133053779602,0.65,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9342479109764099,-0.9289602637290955,0.7,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9688832759857178,-0.9456942677497864,0.75,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.9637154936790466,-0.9610686898231506,0.8,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-1.0541647672653198,-0.9992735981941223,0.85,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-1.2600386142730713,-1.1881991624832153,0.9,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-1.9746721982955933,-2.138477087020874,0.95,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8854662179946899,-0.8854662179946899,0.0,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.889413595199585,-0.8877585530281067,0.05,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8859506845474243,-0.89383465051651,0.1,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8888713121414185,-0.8900625705718994,0.15,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8901959657669067,-0.8908973932266235,0.2,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8935170769691467,-0.8945066928863525,0.25,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8967499136924744,-0.8991047143936157,0.3,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8985443711280823,-0.8970644474029541,0.35,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9070351719856262,-0.903149425983429,0.4,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9109414219856262,-0.905174970626831,0.45,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.911965012550354,-0.9203730225563049,0.5,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9308329224586487,-0.9315991997718811,0.55,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9321540594100952,-0.9243350625038147,0.6,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9385950565338135,-0.9383133053779602,0.65,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9342479109764099,-0.9289602637290955,0.7,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9688832759857178,-0.9456942677497864,0.75,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9637154936790466,-0.9610686898231506,0.8,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.0541647672653198,-0.9992735981941223,0.85,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.2600386142730713,-1.1881991624832153,0.9,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.9746721982955933,-2.138477087020874,0.95,DataBanzhaf(num_models=1000),pumadyn32nh,0.05,linear_regression
