remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.8809734582901001,-0.8809734582901001,0.0,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.883751392364502,-0.8813244104385376,0.05,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8876057267189026,-0.8819724917411804,0.1,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8838711977005005,-0.8875787854194641,0.15,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8847785592079163,-0.8875329494476318,0.2,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8845985531806946,-0.8917574286460876,0.25,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8866432309150696,-0.8958597183227539,0.3,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8927567005157471,-0.8941047191619873,0.35,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.896146297454834,-0.9029435515403748,0.4,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9002335667610168,-0.9089502096176147,0.45,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8966387510299683,-0.9060522317886353,0.5,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8978031277656555,-0.9139214754104614,0.55,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.910551905632019,-0.9267896413803101,0.6,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9282344579696655,-0.9360681772232056,0.65,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9111265540122986,-0.9317401647567749,0.7,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9322218298912048,-0.9688912630081177,0.75,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.9690008163452148,-0.9925354719161987,0.8,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.078935980796814,-1.0876944065093994,0.85,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-1.1494637727737427,-1.3857886791229248,0.9,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-2.3790781497955322,-2.938563823699951,0.95,RandomEvaluator(),pumadyn32nh,0.05,linear_regression
-0.8809735774993896,-0.8809735774993896,0.0,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8809540867805481,-0.8848382830619812,0.05,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8787872195243835,-0.8931204676628113,0.1,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8781778216362,-0.9002006649971008,0.15,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.884304940700531,-0.9003517031669617,0.2,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8876340389251709,-0.896125078201294,0.25,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.888327419757843,-0.8968514204025269,0.3,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8895238637924194,-0.9061114192008972,0.35,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8878470063209534,-0.9151443839073181,0.4,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8998073935508728,-0.9218683838844299,0.45,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.897371768951416,-0.9252787828445435,0.5,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8904276490211487,-0.9368458390235901,0.55,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8929340839385986,-0.9567037224769592,0.6,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9081962704658508,-0.9624108672142029,0.65,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.896103024482727,-0.9735947251319885,0.7,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.9114985466003418,-0.9907914996147156,0.75,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.938719630241394,-1.0425572395324707,0.8,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.0117639303207397,-1.1423330307006836,0.85,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.3434054851531982,-1.429220199584961,0.9,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-1.707109808921814,-3.636028528213501,0.95,InfluenceSubsample(num_models=1000),pumadyn32nh,0.05,linear_regression
-0.8809735774993896,-0.8809735774993896,0.0,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
-0.8809540867805481,-0.8848382830619812,0.05,LeaveOneOut(),pumadyn32nh,0.05,linear_regression
