remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.29828980565071106,-0.29828980565071106,0.0,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3025157153606415,-0.3032130002975464,0.05,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.30456337332725525,-0.3044201731681824,0.1,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3092556893825531,-0.30521807074546814,0.15,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.30950677394866943,-0.30939990282058716,0.2,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3095166087150574,-0.31070244312286377,0.25,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.311664342880249,-0.30880850553512573,0.3,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3101916015148163,-0.3083087205886841,0.35,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3113701641559601,-0.31414714455604553,0.4,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.31919312477111816,-0.31455183029174805,0.45,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3229331374168396,-0.31797730922698975,0.5,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.32724905014038086,-0.32461217045783997,0.55,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3393043875694275,-0.3269261419773102,0.6,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3697067201137543,-0.3536572754383087,0.65,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.4286620318889618,-0.35285261273384094,0.7,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.4372757077217102,-0.36081820726394653,0.75,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.5816994309425354,-0.44643205404281616,0.8,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.8744344711303711,-1.0081509351730347,0.85,RandomEvaluator(),superconductivity,0.05,linear_regression
-34.3114013671875,-6.092801570892334,0.9,RandomEvaluator(),superconductivity,0.05,linear_regression
-150.08949279785156,-101.48953247070312,0.95,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.29828980565071106,-0.29828980565071106,0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.29584571719169617,-0.2980245351791382,0.05,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.2977084517478943,-0.3019048571586609,0.1,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.29567092657089233,-0.30177557468414307,0.15,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.29636773467063904,-0.3001646399497986,0.2,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
