kmeans_f1,method,dataset,noise_rate,model
0.4672897196261682,LavaEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10486891385767791,RandomEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.10061349693251534,DVRL(rl_epochs=2000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09859154929577464,KNNShapley(k_neighbors=100),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.3684210526315789,LavaEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.11702127659574468,RandomEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09970089730807577,KNNShapley(k_neighbors=100),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DVRL(rl_epochs=2000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.5212765957446809,LavaEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09859154929577464,KNNShapley(k_neighbors=100),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09131075110456553,DVRL(rl_epochs=2000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.08061420345489444,RandomEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.48,LavaEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1026694045174538,KNNShapley(k_neighbors=100),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.07076350093109869,RandomEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.013793103448275862,DVRL(rl_epochs=2000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.5050505050505051,LavaEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09819639278557114,KNNShapley(k_neighbors=100),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.07678244972577697,RandomEvaluator(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.017543859649122806,DVRL(rl_epochs=2000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.6089743589743589,LavaEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.18696883852691218,KNNShapley(k_neighbors=100),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1507537688442211,RandomEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.06153846153846154,DVRL(rl_epochs=2000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.5388888888888889,LavaEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.19066937119675456,DVRL(rl_epochs=2000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.18618042226487524,KNNShapley(k_neighbors=100),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16612377850162866,RandomEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.6089743589743589,LavaEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.1926782273603083,KNNShapley(k_neighbors=100),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.16984402079722705,RandomEvaluator(),superconductivity,0.1,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
