remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.29681655764579773,-0.29681655764579773,0.0,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.29860103130340576,-0.3007999658584595,0.05,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.29617223143577576,-0.3021105229854584,0.1,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3018263876438141,-0.3032568395137787,0.15,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.30401867628097534,-0.3065494894981384,0.2,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3054927587509155,-0.3087519407272339,0.25,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3072056770324707,-0.3086152672767639,0.3,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3054158389568329,-0.3058376908302307,0.35,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3019750714302063,-0.3053140938282013,0.4,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.31626394391059875,-0.3015497624874115,0.45,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.31440091133117676,-0.3062764108181,0.5,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.32125577330589294,-0.3134475648403168,0.55,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3249131143093109,-0.3159509301185608,0.6,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3307604491710663,-0.3412955105304718,0.65,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3557399809360504,-0.42259320616722107,0.7,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.36570584774017334,-0.5536485314369202,0.75,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.4464099109172821,-0.7291399836540222,0.8,RandomEvaluator(),superconductivity,0.05,linear_regression
-1.0081042051315308,-1.0900965929031372,0.85,RandomEvaluator(),superconductivity,0.05,linear_regression
-8.107316017150879,-10.733202934265137,0.9,RandomEvaluator(),superconductivity,0.05,linear_regression
-8.287928581237793,-46.36768341064453,0.95,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.29681646823883057,-0.29681646823883057,0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.2974541485309601,-0.29766640067100525,0.05,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.29811421036720276,-0.3000441789627075,0.1,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.2994769513607025,-0.30130085349082947,0.15,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.30001071095466614,-0.30137133598327637,0.2,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.30117154121398926,-0.2995154559612274,0.25,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3070564568042755,-0.3019822835922241,0.3,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.30983325839042664,-0.30273178219795227,0.35,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3143619894981384,-0.3010522127151489,0.4,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3469974398612976,-0.3024285137653351,0.45,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3586273491382599,-0.30522727966308594,0.5,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3609623312950134,-0.31616559624671936,0.55,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3746856153011322,-0.33443576097488403,0.6,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.40444719791412354,-0.3299759328365326,0.65,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.4537283480167389,-0.35586878657341003,0.7,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.5453381538391113,-0.382272869348526,0.75,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.624442458152771,-0.40290728211402893,0.8,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.7949817776679993,-0.7118723392486572,0.85,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-10.177728652954102,-9.306719779968262,0.9,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-342.7846984863281,-13.106415748596191,0.95,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.29681646823883057,-0.29681646823883057,0.0,LeaveOneOut(),superconductivity,0.05,linear_regression
-0.2974541485309601,-0.29766640067100525,0.05,LeaveOneOut(),superconductivity,0.05,linear_regression
-0.29811421036720276,-0.3000441789627075,0.1,LeaveOneOut(),superconductivity,0.05,linear_regression
