remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.3139210343360901,-0.3139210343360901,0.0,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.31453996896743774,-0.3125688135623932,0.05,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3143303692340851,-0.31634920835494995,0.1,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3156934678554535,-0.3163185119628906,0.15,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3262561857700348,-0.3153667747974396,0.2,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.32970237731933594,-0.32449454069137573,0.25,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3285316526889801,-0.32857754826545715,0.3,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3341272175312042,-0.3316047489643097,0.35,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.32828664779663086,-0.33365872502326965,0.4,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.33009231090545654,-0.34619808197021484,0.45,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3397865295410156,-0.35923677682876587,0.5,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3483506143093109,-0.3508017957210541,0.55,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3645291030406952,-0.36286482214927673,0.6,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3795944154262543,-0.36554110050201416,0.65,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.40964359045028687,-0.39659643173217773,0.7,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.4389398694038391,-0.4564659893512726,0.75,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.6809514760971069,-0.5779092907905579,0.8,RandomEvaluator(),superconductivity,0.05,linear_regression
-2.063176155090332,-0.9243119955062866,0.85,RandomEvaluator(),superconductivity,0.05,linear_regression
-15.743392944335938,-14.621296882629395,0.9,RandomEvaluator(),superconductivity,0.05,linear_regression
-123.6287612915039,-15.267138481140137,0.95,RandomEvaluator(),superconductivity,0.05,linear_regression
-0.3139205873012543,-0.3139205873012543,0.0,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.31676918268203735,-0.31693676114082336,0.05,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.31929802894592285,-0.3168705999851227,0.1,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.31814688444137573,-0.3152536153793335,0.15,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3177730441093445,-0.3153893053531647,0.2,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3203182816505432,-0.31518545746803284,0.25,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3238377571105957,-0.3165396749973297,0.3,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.3266690671443939,-0.31648319959640503,0.35,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.33546990156173706,-0.31958717107772827,0.4,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
-0.34306153655052185,-0.3242218494415283,0.45,InfluenceSubsample(num_models=1000),superconductivity,0.05,linear_regression
