remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.006638836115598679,-0.006638836115598679,0.0,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007270529866218567,-0.007147534750401974,0.05,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.008071832358837128,-0.007557963021099567,0.1,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.008800969459116459,-0.007564351428300142,0.15,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007879422046244144,-0.007770881522446871,0.2,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.009067556820809841,-0.008518713526427746,0.25,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.0104483962059021,-0.0082883695140481,0.3,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.011357873678207397,-0.007475186139345169,0.35,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.013892358168959618,-0.008617815561592579,0.4,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.01431998424232006,-0.008935370482504368,0.45,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.014630348421633244,-0.009617781266570091,0.5,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.017293261364102364,-0.009651008993387222,0.55,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.02033880539238453,-0.01236796285957098,0.6,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.025601722300052643,-0.016363851726055145,0.65,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.022447550669312477,-0.020339762791991234,0.7,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.020199935883283615,-0.02924772910773754,0.75,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.025971544906497,-0.04441556707024574,0.8,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.03245370462536812,-0.014669250696897507,0.85,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.04718703031539917,-0.014847821556031704,0.9,RandomEvaluator(),wave_energy,0.05,linear_regression
-3.5813629627227783,-1.7720999717712402,0.95,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.0066388691775500774,-0.0066388691775500774,0.0,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0067642019130289555,-0.007042720913887024,0.05,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.006677351426333189,-0.007276180200278759,0.1,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007477561943233013,-0.007861906662583351,0.15,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007500883657485247,-0.008907762356102467,0.2,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007564667612314224,-0.010416925884783268,0.25,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008856775239109993,-0.009208758361637592,0.3,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.010879228822886944,-0.00870917271822691,0.35,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.012957753613591194,-0.00994241051375866,0.4,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.013703364878892899,-0.009968011640012264,0.45,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.01619558036327362,-0.010140473954379559,0.5,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.016915753483772278,-0.011883304454386234,0.55,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.019673623144626617,-0.013494664803147316,0.6,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.021729517728090286,-0.01709633693099022,0.65,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.020262500271201134,-0.02711191214621067,0.7,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.011972221545875072,-0.04114265367388725,0.75,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0155143141746521,-0.046448200941085815,0.8,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
