remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.0062881093472242355,-0.0062881093472242355,0.0,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.006711181718856096,-0.00606487737968564,0.05,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007101955357939005,-0.006539967376738787,0.1,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007141124922782183,-0.0057847145944833755,0.15,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007584485225379467,-0.004535994492471218,0.2,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.007971858605742455,-0.00424108374863863,0.25,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.008915775455534458,-0.0049438211135566235,0.3,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.009572389535605907,-0.005556028801947832,0.35,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.011032721027731895,-0.006081588100641966,0.4,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.011629147455096245,-0.00733121857047081,0.45,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.010900554247200489,-0.0071335709653794765,0.5,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.012299766764044762,-0.006117595825344324,0.55,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.014074651524424553,-0.005914868786931038,0.6,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.017304494976997375,-0.006971959490329027,0.65,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.019701799377799034,-0.00778560247272253,0.7,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.026923101395368576,-0.01131338719278574,0.75,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.037983208894729614,-0.014827943406999111,0.8,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.03697296604514122,-0.01932561956346035,0.85,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.06078534573316574,-0.009298492223024368,0.9,RandomEvaluator(),wave_energy,0.05,linear_regression
-1.6727960109710693,-0.24383005499839783,0.95,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.00628809304907918,-0.00628809304907918,0.0,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.00703013688325882,-0.007189176976680756,0.05,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.006149556953459978,-0.007765055168420076,0.1,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007204217370599508,-0.007916719652712345,0.15,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007968254387378693,-0.008211091160774231,0.2,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007649002596735954,-0.008217750117182732,0.25,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008402482606470585,-0.009454980492591858,0.3,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.009427789598703384,-0.010244106873869896,0.35,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.01079374086111784,-0.008070140145719051,0.4,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008789736777544022,-0.00838254764676094,0.45,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008835074491798878,-0.009122524410486221,0.5,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.010873092338442802,-0.008995072916150093,0.55,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.011706286109983921,-0.00775030255317688,0.6,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0059677367098629475,-0.009820600040256977,0.65,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.006975662894546986,-0.012545558623969555,0.7,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008539767935872078,-0.015765342861413956,0.75,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.00791125651448965,-0.014309191145002842,0.8,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0031708080787211657,-0.019479498267173767,0.85,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0013523679226636887,-0.03759578987956047,0.9,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.022370437160134315,-3.738240957260132,0.95,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.00628809304907918,-0.00628809304907918,0.0,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.00703013688325882,-0.007189176976680756,0.05,LeaveOneOut(),wave_energy,0.05,linear_regression
