remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.005673602223396301,-0.005673602223396301,0.0,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.004567383788526058,-0.005771946627646685,0.05,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.004720832221210003,-0.004941230174154043,0.1,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.005420719739049673,-0.005317468196153641,0.15,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.005936004687100649,-0.005535586271435022,0.2,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.006214751396328211,-0.006542944815009832,0.25,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.0066012367606163025,-0.007471345830708742,0.3,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.004969485569745302,-0.00706655764952302,0.35,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.0058026122860610485,-0.008462912403047085,0.4,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.006887603551149368,-0.009933953173458576,0.45,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.008469809778034687,-0.011875596828758717,0.5,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.00927183497697115,-0.014077677391469479,0.55,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.01178633514791727,-0.017873501405119896,0.6,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.011327864602208138,-0.023008856922388077,0.65,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.013501053676009178,-0.023110823705792427,0.7,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.01688539981842041,-0.030080104246735573,0.75,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.03291584178805351,-0.05108786001801491,0.8,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.04894409328699112,-0.06607774645090103,0.85,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.09467096626758575,-0.16932234168052673,0.9,RandomEvaluator(),wave_energy,0.05,linear_regression
-9.079180717468262,-12.155461311340332,0.95,RandomEvaluator(),wave_energy,0.05,linear_regression
-0.005673631560057402,-0.005673631560057402,0.0,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.006361293140798807,-0.006459414027631283,0.05,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.007234462536871433,-0.0070028360933065414,0.1,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.00797116570174694,-0.007035951130092144,0.15,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.00784960575401783,-0.005285911727696657,0.2,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008584218099713326,-0.005874081514775753,0.25,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.008357837796211243,-0.0059422035701572895,0.3,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0097802160307765,-0.006514859385788441,0.35,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.012002207338809967,-0.006108596920967102,0.4,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.014275453984737396,-0.005471008829772472,0.45,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.015086852014064789,-0.005220263265073299,0.5,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.015941331163048744,-0.006481470540165901,0.55,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.013761746697127819,-0.00818227231502533,0.6,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.011076376773416996,-0.011070589534938335,0.65,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.01499263010919094,-0.015956444665789604,0.7,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.01669231802225113,-0.012836148962378502,0.75,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.03362486511468887,-0.019968949258327484,0.8,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.015761060640215874,-0.015996510162949562,0.85,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.0036566657945513725,-0.024463728070259094,0.9,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.4077635109424591,-5.154891368874814e-06,0.95,InfluenceSubsample(num_models=1000),wave_energy,0.05,linear_regression
-0.005673631560057402,-0.005673631560057402,0.0,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.006361293140798807,-0.006459414027631283,0.05,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.007234462536871433,-0.0070028360933065414,0.1,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.00797116570174694,-0.007035951130092144,0.15,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.00784960575401783,-0.005285911727696657,0.2,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.008584218099713326,-0.005874081514775753,0.25,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.008357837796211243,-0.0059422035701572895,0.3,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.0097802160307765,-0.006514859385788441,0.35,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.012002207338809967,-0.006108596920967102,0.4,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.014275453984737396,-0.005471008829772472,0.45,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.015086852014064789,-0.005220263265073299,0.5,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.015941331163048744,-0.006481470540165901,0.55,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.013761746697127819,-0.00818227231502533,0.6,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.011076376773416996,-0.011070589534938335,0.65,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.01499263010919094,-0.015956444665789604,0.7,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.01669231802225113,-0.012836148962378502,0.75,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.03362486511468887,-0.019968949258327484,0.8,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.015761060640215874,-0.015996510162949562,0.85,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.0036566657945513725,-0.024463728070259094,0.9,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.4077635109424591,-5.154891368874814e-06,0.95,LeaveOneOut(),wave_energy,0.05,linear_regression
-0.005673631560057402,-0.005673631560057402,0.0,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.006361293140798807,-0.006459414027631283,0.05,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.007234462536871433,-0.0070028360933065414,0.1,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.00797116570174694,-0.007035951130092144,0.15,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.00784960575401783,-0.005285911727696657,0.2,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.008584218099713326,-0.005874081514775753,0.25,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.008357837796211243,-0.0059422035701572895,0.3,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.0097802160307765,-0.006514859385788441,0.35,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.012002207338809967,-0.006108596920967102,0.4,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.014275453984737396,-0.005471008829772472,0.45,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.015086852014064789,-0.005220263265073299,0.5,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.015941331163048744,-0.006481470540165901,0.55,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.013761746697127819,-0.00818227231502533,0.6,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.011076376773416996,-0.011070589534938335,0.65,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.01499263010919094,-0.015956444665789604,0.7,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.01669231802225113,-0.012836148962378502,0.75,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.03362486511468887,-0.019968949258327484,0.8,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.015761060640215874,-0.015996510162949562,0.85,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.0036566657945513725,-0.024463728070259094,0.9,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.4077635109424591,-5.154891368874814e-06,0.95,DataBanzhaf(num_models=1000),wave_energy,0.05,linear_regression
-0.005673631560057402,-0.005673631560057402,0.0,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.006361293140798807,-0.006459414027631283,0.05,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.007234462536871433,-0.0070028360933065414,0.1,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.00797116570174694,-0.007035951130092144,0.15,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.00784960575401783,-0.005285911727696657,0.2,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.008584218099713326,-0.005874081514775753,0.25,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.008357837796211243,-0.0059422035701572895,0.3,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.0097802160307765,-0.006514859385788441,0.35,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.012002207338809967,-0.006108596920967102,0.4,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.014275453984737396,-0.005471008829772472,0.45,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.015086852014064789,-0.005220263265073299,0.5,DataOob(num_models=1000),wave_energy,0.05,linear_regression
-0.015941331163048744,-0.006481470540165901,0.55,DataOob(num_models=1000),wave_energy,0.05,linear_regression
