remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.7471305131912231,-0.7471305131912231,0.0,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7478359341621399,-0.7460081577301025,0.05,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7532371282577515,-0.7480637431144714,0.1,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7558366656303406,-0.7460473775863647,0.15,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7574781775474548,-0.7453660368919373,0.2,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7579485774040222,-0.7457244396209717,0.25,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7560545802116394,-0.7464178204536438,0.3,RandomEvaluator(),white_wine,0.05,linear_regression
-0.756258487701416,-0.7462739944458008,0.35,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7549876570701599,-0.7494930624961853,0.4,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7549155950546265,-0.7491474747657776,0.45,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7593107223510742,-0.7501928806304932,0.5,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7670866847038269,-0.7496718168258667,0.55,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7604893445968628,-0.7469104528427124,0.6,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7716183066368103,-0.7448086142539978,0.65,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7753235697746277,-0.7454785704612732,0.7,RandomEvaluator(),white_wine,0.05,linear_regression
-0.778429388999939,-0.7586462497711182,0.75,RandomEvaluator(),white_wine,0.05,linear_regression
-0.771735668182373,-0.8082006573677063,0.8,RandomEvaluator(),white_wine,0.05,linear_regression
-0.838774561882019,-0.7827780842781067,0.85,RandomEvaluator(),white_wine,0.05,linear_regression
-0.8692721128463745,-0.8068519830703735,0.9,RandomEvaluator(),white_wine,0.05,linear_regression
-1.1493037939071655,-1.1060084104537964,0.95,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7471305131912231,-0.7471305131912231,0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7490977644920349,-0.7480794787406921,0.05,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7512129545211792,-0.7482762932777405,0.1,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7547001242637634,-0.743609607219696,0.15,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.757739245891571,-0.7467449307441711,0.2,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
