remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.7335750460624695,-0.7335750460624695,0.0,RandomEvaluator(),white_wine,0.05,linear_regression
-0.733660101890564,-0.7316392660140991,0.05,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7325466275215149,-0.7319193482398987,0.1,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7330859899520874,-0.7328444123268127,0.15,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7316572070121765,-0.7343323826789856,0.2,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7312818765640259,-0.734107255935669,0.25,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7321022748947144,-0.7346531748771667,0.3,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7320830821990967,-0.7336200475692749,0.35,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7348361015319824,-0.732262134552002,0.4,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7370208501815796,-0.7306041717529297,0.45,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7388388514518738,-0.7370501160621643,0.5,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7458866238594055,-0.7429549098014832,0.55,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7453505992889404,-0.7439817190170288,0.6,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7421988844871521,-0.7535579204559326,0.65,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7426613569259644,-0.7642927765846252,0.7,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7512615323066711,-0.7734473347663879,0.75,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7771381735801697,-0.7777396440505981,0.8,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7747105956077576,-0.8018850684165955,0.85,RandomEvaluator(),white_wine,0.05,linear_regression
-0.8216075897216797,-0.8408515453338623,0.9,RandomEvaluator(),white_wine,0.05,linear_regression
-0.9248178601264954,-1.0672335624694824,0.95,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7335750460624695,-0.7335750460624695,0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.726228654384613,-0.7359386682510376,0.05,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7272228002548218,-0.7372089624404907,0.1,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7281529307365417,-0.7376118898391724,0.15,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7306730151176453,-0.73553466796875,0.2,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7370613813400269,-0.7419357895851135,0.25,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7373573184013367,-0.7410919070243835,0.3,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7366554141044617,-0.7406001091003418,0.35,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7346087098121643,-0.7384179830551147,0.4,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7370859980583191,-0.7454198598861694,0.45,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7385706305503845,-0.7449749112129211,0.5,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.734857976436615,-0.747432291507721,0.55,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7396535873413086,-0.7487379312515259,0.6,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.738126277923584,-0.7472344040870667,0.65,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7332866191864014,-0.7726037502288818,0.7,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7271572947502136,-0.7826223969459534,0.75,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7425114512443542,-0.7865167856216431,0.8,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7569112181663513,-0.8010274767875671,0.85,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7478147149085999,-0.840842604637146,0.9,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-1.0485097169876099,-1.2771472930908203,0.95,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7335750460624695,-0.7335750460624695,0.0,LeaveOneOut(),white_wine,0.05,linear_regression
-0.726228654384613,-0.7359386682510376,0.05,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7272228002548218,-0.7372089624404907,0.1,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7281529307365417,-0.7376118898391724,0.15,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7306730151176453,-0.73553466796875,0.2,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7370613813400269,-0.7419357895851135,0.25,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7373573184013367,-0.7410919070243835,0.3,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7366554141044617,-0.7406001091003418,0.35,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7346087098121643,-0.7384179830551147,0.4,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7370859980583191,-0.7454198598861694,0.45,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7385706305503845,-0.7449749112129211,0.5,LeaveOneOut(),white_wine,0.05,linear_regression
-0.734857976436615,-0.747432291507721,0.55,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7396535873413086,-0.7487379312515259,0.6,LeaveOneOut(),white_wine,0.05,linear_regression
-0.738126277923584,-0.7472344040870667,0.65,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7332866191864014,-0.7726037502288818,0.7,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7271572947502136,-0.7826223969459534,0.75,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7425114512443542,-0.7865167856216431,0.8,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7569112181663513,-0.8010274767875671,0.85,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7478147149085999,-0.840842604637146,0.9,LeaveOneOut(),white_wine,0.05,linear_regression
-1.0485097169876099,-1.2771472930908203,0.95,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7335750460624695,-0.7335750460624695,0.0,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.726228654384613,-0.7359386682510376,0.05,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7272228002548218,-0.7372089624404907,0.1,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7281529307365417,-0.7376118898391724,0.15,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7306730151176453,-0.73553466796875,0.2,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7370613813400269,-0.7419357895851135,0.25,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7373573184013367,-0.7410919070243835,0.3,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7366554141044617,-0.7406001091003418,0.35,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7346087098121643,-0.7384179830551147,0.4,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7370859980583191,-0.7454198598861694,0.45,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7385706305503845,-0.7449749112129211,0.5,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.734857976436615,-0.747432291507721,0.55,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7396535873413086,-0.7487379312515259,0.6,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.738126277923584,-0.7472344040870667,0.65,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7332866191864014,-0.7726037502288818,0.7,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7271572947502136,-0.7826223969459534,0.75,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7425114512443542,-0.7865167856216431,0.8,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7569112181663513,-0.8010274767875671,0.85,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7478147149085999,-0.840842604637146,0.9,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-1.0485097169876099,-1.2771472930908203,0.95,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7335750460624695,-0.7335750460624695,0.0,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.726228654384613,-0.7359386682510376,0.05,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7272228002548218,-0.7372089624404907,0.1,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7281529307365417,-0.7376118898391724,0.15,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7306730151176453,-0.73553466796875,0.2,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7370613813400269,-0.7419357895851135,0.25,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7373573184013367,-0.7410919070243835,0.3,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7366554141044617,-0.7406001091003418,0.35,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7346087098121643,-0.7384179830551147,0.4,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7370859980583191,-0.7454198598861694,0.45,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7385706305503845,-0.7449749112129211,0.5,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.734857976436615,-0.747432291507721,0.55,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7396535873413086,-0.7487379312515259,0.6,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.738126277923584,-0.7472344040870667,0.65,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7332866191864014,-0.7726037502288818,0.7,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7271572947502136,-0.7826223969459534,0.75,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7425114512443542,-0.7865167856216431,0.8,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7569112181663513,-0.8010274767875671,0.85,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7478147149085999,-0.840842604637146,0.9,DataOob(num_models=1000),white_wine,0.05,linear_regression
-1.0485097169876099,-1.2771472930908203,0.95,DataOob(num_models=1000),white_wine,0.05,linear_regression
-0.7335750460624695,-0.7335750460624695,0.0,AME(num_models=1000),white_wine,0.05,linear_regression
-0.726228654384613,-0.7359386682510376,0.05,AME(num_models=1000),white_wine,0.05,linear_regression
-0.7272228002548218,-0.7372089624404907,0.1,AME(num_models=1000),white_wine,0.05,linear_regression
-0.7281529307365417,-0.7376118898391724,0.15,AME(num_models=1000),white_wine,0.05,linear_regression
-0.7306730151176453,-0.73553466796875,0.2,AME(num_models=1000),white_wine,0.05,linear_regression
-0.7370613813400269,-0.7419357895851135,0.25,AME(num_models=1000),white_wine,0.05,linear_regression
