kmeans_f1,method,dataset,noise_rate,model
0.27106227106227104,KNNShapley(k_neighbors=100),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.09982174688057041,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.022641509433962263,DVRL(rl_epochs=2000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LavaEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.2452316076294278,KNNShapley(k_neighbors=100),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.12143742255266418,DVRL(rl_epochs=2000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.07581227436823104,RandomEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.029850746268656716,LavaEvaluator(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,AME(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataOob(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,DataBanzhaf(num_models=1000),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.0,LeaveOneOut(),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
0.3371647509578544,KNNShapley(k_neighbors=100),white_wine,0.05,"regressionmlp (epochs=5, batch_size=32, lr=0.01)"
