remove_least_influential_first_Metrics.ACCURACY,remove_most_influential_first_Metrics.ACCURACY,axis,method,dataset,noise_rate,model
-0.7202286720275879,-0.7202286720275879,0.0,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7195790410041809,-0.7229682803153992,0.05,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7229846715927124,-0.7261176705360413,0.1,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7208425998687744,-0.7238028049468994,0.15,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7198395729064941,-0.7258186936378479,0.2,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7121152281761169,-0.7264159917831421,0.25,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7135780453681946,-0.7300324440002441,0.3,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7154719829559326,-0.7295833230018616,0.35,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7239141464233398,-0.7270447015762329,0.4,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7310788035392761,-0.7287381291389465,0.45,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7267516851425171,-0.735852062702179,0.5,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7255585193634033,-0.7321771383285522,0.55,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7234086990356445,-0.7349336743354797,0.6,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7257957458496094,-0.754996657371521,0.65,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7370359897613525,-0.7674303650856018,0.7,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7302485108375549,-0.7864379286766052,0.75,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7442501783370972,-0.7736241817474365,0.8,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7500138878822327,-0.8137162923812866,0.85,RandomEvaluator(),white_wine,0.05,linear_regression
-0.8542455434799194,-0.8180695176124573,0.9,RandomEvaluator(),white_wine,0.05,linear_regression
-0.9019820690155029,-0.8705499768257141,0.95,RandomEvaluator(),white_wine,0.05,linear_regression
-0.7202286720275879,-0.7202286720275879,0.0,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7216857075691223,-0.7213599681854248,0.05,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7205879092216492,-0.722878098487854,0.1,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7220498919487,-0.7170295119285583,0.15,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.722682774066925,-0.7187923789024353,0.2,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7291937470436096,-0.7186970114707947,0.25,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7296870350837708,-0.7178208231925964,0.3,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7389731407165527,-0.7162407040596008,0.35,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7409366965293884,-0.7186591029167175,0.4,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7479871511459351,-0.7182643413543701,0.45,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7591652870178223,-0.7155809998512268,0.5,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7515047788619995,-0.711150050163269,0.55,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.746786892414093,-0.7050339579582214,0.6,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7461235523223877,-0.7073355317115784,0.65,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7402116060256958,-0.7137466669082642,0.7,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7442290186882019,-0.7405270338058472,0.75,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7486456036567688,-0.7612565159797668,0.8,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7463720440864563,-0.836980402469635,0.85,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7773230075836182,-0.9268787503242493,0.9,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.9858690500259399,-0.9644534587860107,0.95,InfluenceSubsample(num_models=1000),white_wine,0.05,linear_regression
-0.7202286720275879,-0.7202286720275879,0.0,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7216857075691223,-0.7213599681854248,0.05,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7205879092216492,-0.722878098487854,0.1,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7220498919487,-0.7170295119285583,0.15,LeaveOneOut(),white_wine,0.05,linear_regression
-0.722682774066925,-0.7187923789024353,0.2,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7291937470436096,-0.7186970114707947,0.25,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7296870350837708,-0.7178208231925964,0.3,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7389731407165527,-0.7162407040596008,0.35,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7409366965293884,-0.7186591029167175,0.4,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7479871511459351,-0.7182643413543701,0.45,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7591652870178223,-0.7155809998512268,0.5,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7515047788619995,-0.711150050163269,0.55,LeaveOneOut(),white_wine,0.05,linear_regression
-0.746786892414093,-0.7050339579582214,0.6,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7461235523223877,-0.7073355317115784,0.65,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7402116060256958,-0.7137466669082642,0.7,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7442290186882019,-0.7405270338058472,0.75,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7486456036567688,-0.7612565159797668,0.8,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7463720440864563,-0.836980402469635,0.85,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7773230075836182,-0.9268787503242493,0.9,LeaveOneOut(),white_wine,0.05,linear_regression
-0.9858690500259399,-0.9644534587860107,0.95,LeaveOneOut(),white_wine,0.05,linear_regression
-0.7202286720275879,-0.7202286720275879,0.0,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7216857075691223,-0.7213599681854248,0.05,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7205879092216492,-0.722878098487854,0.1,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7220498919487,-0.7170295119285583,0.15,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.722682774066925,-0.7187923789024353,0.2,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7291937470436096,-0.7186970114707947,0.25,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7296870350837708,-0.7178208231925964,0.3,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7389731407165527,-0.7162407040596008,0.35,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7409366965293884,-0.7186591029167175,0.4,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7479871511459351,-0.7182643413543701,0.45,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7591652870178223,-0.7155809998512268,0.5,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7515047788619995,-0.711150050163269,0.55,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.746786892414093,-0.7050339579582214,0.6,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7461235523223877,-0.7073355317115784,0.65,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
-0.7402116060256958,-0.7137466669082642,0.7,DataBanzhaf(num_models=1000),white_wine,0.05,linear_regression
