experiment,repetition,state,mse,mape,r2
1,1,base,0.2156159579753875,0.9604841470718384,0.3271611928939819
1,2,base,0.235963299870491,0.948665976524353,0.2636664509773254
1,3,base,0.2639595568180084,1.0596065521240234,0.176302969455719
1,4,base,0.1675552576780319,0.8993921875953674,0.4771366715431213
1,5,base,0.1814603358507156,0.8590441346168518,0.433745265007019
1,6,base,0.1883633136749267,0.7925472855567932,0.4122042059898376
1,7,base,0.2083669155836105,0.7923430800437927,0.3497821688652038
1,8,base,0.1770168542861938,0.7754931449890137,0.4476113319396972
1,9,base,0.2049586176872253,0.6812267303466797,0.360417902469635
1,10,base,0.2335006892681121,1.0491514205932615,0.2713510990142822
1,1,LossVal (epochs = 5),0.1685080975294113,0.8136765956878662,0.474163293838501
1,1,LossVal (epochs = 30),0.2098870426416397,0.9105327129364014,0.3450385332107544
1,1,Random,0.200966328382492,0.795948326587677,0.3728759884834289
1,1,InfluenceSubsample,0.22919662296772,1.3023558855056765,0.2847821116447449
1,1,LeaveOneOut,0.1683910936117172,0.7224589586257935,0.474528431892395
1,1,DataShapley,0.2092502415180206,1.3116823434829712,0.3470256924629211
1,1,BetaShapley,0.1530293077230453,0.7172114253044128,0.5224655270576477
1,1,DataBanzhaf,0.1933649033308029,0.8274567127227783,0.3965965509414673
1,1,DataOob,0.1611898988485336,0.75152188539505,0.4970000386238098
1,1,AME,0.2732845246791839,0.8414979577064514,0.1472039222717285
1,1,DVRL,0.149462029337883,0.7485008239746094,0.5335973501205444
1,1,KNNShapley,0.1720792204141616,0.6629229784011841,0.4630194306373596
1,1,LavaEvaluator,0.2375139743089676,0.7622748017311096,0.2588274478912353
1,2,LossVal (epochs = 5),0.2128191739320755,0.8795890212059021,0.3358886241912842
1,2,LossVal (epochs = 30),0.3300831317901611,1.617984652519226,-0.0300384759902954
1,2,Random,0.259332001209259,1.0278711318969729,0.1907434463500976
1,2,InfluenceSubsample,0.1948315650224685,1.02540123462677,0.3920197486877441
1,2,LeaveOneOut,0.197168231010437,0.97561514377594,0.3847280740737915
1,2,DataShapley,0.2159871011972427,1.0513684749603271,0.3260030150413513
1,2,BetaShapley,0.2625943124294281,0.9290900230407716,0.1805631518363952
1,2,DataBanzhaf,0.2211021780967712,0.9347675442695618,0.3100411891937256
1,2,DataOob,0.164034828543663,1.055353045463562,0.4881223440170288
1,2,AME,0.1803333163261413,0.8301359415054321,0.4372621774673462
1,2,DVRL,0.1759112477302551,0.8139352798461914,0.4510614275932312
1,2,KNNShapley,0.1713653355836868,0.7707433104515076,0.4652471542358398
1,2,LavaEvaluator,0.2005508691072464,0.6705839037895203,0.3741724491119385
1,3,LossVal (epochs = 5),0.1715568751096725,0.7432217001914978,0.4646494388580322
1,3,LossVal (epochs = 30),0.1848739236593246,0.9074509143829346,0.4230930209159851
1,3,Random,0.2176028937101364,0.8070040345191956,0.3209608197212219
1,3,InfluenceSubsample,0.2620387375354767,0.955851435661316,0.1822969317436218
1,3,LeaveOneOut,0.2657094597816467,0.8964924812316895,0.1708422899246215
1,3,DataShapley,0.1925960332155227,0.824348509311676,0.3989958167076111
1,3,BetaShapley,0.2757702767848968,1.1157150268554688,0.1394470334053039
1,3,DataBanzhaf,0.1845891624689102,0.8471980690956116,0.4239816069602966
1,3,DataOob,0.168702095746994,0.857382595539093,0.4735579490661621
1,3,AME,0.2042852342128753,1.0794767141342163,0.3625192046165466
1,3,DVRL,0.2828525304794311,0.9524995684623718,0.1173465847969055
1,3,KNNShapley,0.222234845161438,0.8290870785713196,0.3065066933631897
1,3,LavaEvaluator,0.2411283403635025,0.8352678418159485,0.2475486993789672
1,4,LossVal (epochs = 5),0.2345773130655288,1.0811376571655271,0.2679914832115173
1,4,LossVal (epochs = 30),0.2371212840080261,0.9248697757720948,0.2600528597831726
1,4,Random,0.1789685934782028,0.8899149298667908,0.4415208697319031
1,4,InfluenceSubsample,0.2982394695281982,1.2492188215255735,0.0693309307098388
1,4,LeaveOneOut,0.2246996909379959,0.7072568535804749,0.2988150119781494
1,4,DataShapley,0.2266863286495208,0.8394821286201477,0.2926155924797058
1,4,BetaShapley,0.1582436710596084,0.9139302372932434,0.5061938762664795
1,4,DataBanzhaf,0.1790397614240646,0.8690371513366699,0.4412987828254699
1,4,DataOob,0.2913568615913391,1.1071395874023438,0.0908085107803344
1,4,AME,0.2264010310173034,1.2811516523361206,0.2935059070587158
1,4,DVRL,0.1886211931705474,0.8748432397842407,0.4113994836807251
1,4,KNNShapley,0.2911616265773773,1.2951693534851074,0.0914177298545837
1,4,LavaEvaluator,0.1778292804956436,0.8823333382606506,0.4450761079788208
1,5,LossVal (epochs = 5),0.3487370014190674,0.9249641299247742,-0.0882487297058105
1,5,LossVal (epochs = 30),0.2234653532505035,0.874754786491394,0.3026668429374695
1,5,Random,0.2725659012794494,0.988860249519348,0.149446427822113
1,5,InfluenceSubsample,0.3218525052070617,0.9430628418922424,-0.0043544769287109
1,5,LeaveOneOut,0.1669065356254577,0.7850319147109985,0.4791610240936279
1,5,DataShapley,0.172655314207077,0.8259550929069519,0.461221694946289
1,5,BetaShapley,0.2183096557855606,1.0434918403625488,0.3187553882598877
1,5,DataBanzhaf,0.2378839552402496,0.93269944190979,0.257672905921936
1,5,DataOob,0.2982546091079712,1.022126317024231,0.0692837238311767
1,5,AME,0.2439857870340347,0.9638626575469972,0.2386319041252136
1,5,DVRL,0.2074434906244278,0.9378966689109802,0.3526636958122253
1,5,KNNShapley,0.277720957994461,1.327490210533142,0.1333598494529724
1,5,LavaEvaluator,0.2956745326519012,0.9499316215515136,0.0773350000381469
1,6,LossVal (epochs = 5),0.2069941461086273,1.0176000595092771,0.3540658950805664
1,6,LossVal (epochs = 30),0.2635355591773987,1.1408963203430176,0.1776260733604431
1,6,Random,0.3958977460861206,1.1748801469802856,-0.2354158163070678
1,6,InfluenceSubsample,0.2057538628578186,0.8837227821350098,0.3579362630844116
1,6,LeaveOneOut,0.3306758105754852,1.327053189277649,-0.0318880081176757
1,6,DataShapley,0.1673584580421447,1.0702039003372192,0.4777507781982422
1,6,BetaShapley,0.1799559742212295,0.8634960055351257,0.438439667224884
1,6,DataBanzhaf,0.2095284163951873,1.1745274066925049,0.3461576104164123
1,6,DataOob,0.1801864504814148,0.7465564608573914,0.4377204775810241
1,6,AME,0.1977194547653198,0.7749899625778198,0.3830080032348633
1,6,DVRL,0.2662224471569061,0.8075063824653625,0.1692414283752441
1,6,KNNShapley,0.1952214241027832,0.7492556571960449,0.3908032178878784
1,6,LavaEvaluator,0.3014593124389648,1.0160131454467771,0.0592833161354064
1,7,LossVal (epochs = 5),0.2020851522684097,0.6581531167030334,0.3693846464157104
1,7,LossVal (epochs = 30),0.19337759912014,1.0524277687072754,0.3965569138526916
1,7,Random,0.1889000684022903,0.8036913275718689,0.4105292558670044
1,7,InfluenceSubsample,0.2378321290016174,0.9526472091674804,0.2578346729278564
1,7,LeaveOneOut,0.1659930944442749,0.7132773995399475,0.4820114374160766
1,7,DataShapley,0.1728337556123733,0.6994657516479492,0.4606648683547973
1,7,BetaShapley,0.1921978592872619,1.085680365562439,0.4002383351325989
1,7,DataBanzhaf,0.2363555133342743,0.995278775691986,0.2624425292015075
1,7,DataOob,0.1856122463941574,0.8699919581413269,0.4207890629768371
1,7,AME,0.1975845396518707,0.8758739829063416,0.3834289908409118
1,7,DVRL,0.2359359562397003,0.7602290511131287,0.2637518048286438
1,7,KNNShapley,0.1578839868307113,0.7834927439689636,0.5073162317276001
1,7,LavaEvaluator,0.2660577893257141,1.0117467641830444,0.1697553396224975
1,8,LossVal (epochs = 5),0.270881175994873,0.9849712252616882,0.154703676700592
1,8,LossVal (epochs = 30),0.1977753788232803,0.7577544450759888,0.3828334808349609
1,8,Random,0.233874574303627,0.9226515293121338,0.2701843976974487
1,8,InfluenceSubsample,0.2117554098367691,0.9204756617546082,0.33920818567276
1,8,LeaveOneOut,0.1931707859039306,1.0222749710083008,0.3972023129463196
1,8,DataShapley,0.1565078347921371,0.7315870523452759,0.5116106271743774
1,8,BetaShapley,0.2382674217224121,0.9218942523002625,0.2564762830734253
1,8,DataBanzhaf,0.1977843195199966,0.8816766142845154,0.382805585861206
1,8,DataOob,0.351780354976654,1.3456101417541504,-0.097745656967163
1,8,AME,0.2255577594041824,0.8683750629425049,0.2961373925209045
1,8,DVRL,0.1756830215454101,0.8136080503463745,0.4517736434936523
1,8,KNNShapley,0.2131024450063705,0.7840502262115479,0.3350046873092651
1,8,LavaEvaluator,0.1633376777172088,0.7777032256126404,0.490297794342041
1,9,LossVal (epochs = 5),0.1617821156978607,0.8236535787582397,0.4951519966125488
1,9,LossVal (epochs = 30),0.1858166754245758,0.7377354502677917,0.4201511144638061
1,9,Random,0.1911357939243316,1.1384989023208618,0.4035525918006897
1,9,InfluenceSubsample,0.2536832988262176,1.217813491821289,0.2083703875541687
1,9,LeaveOneOut,0.221810981631279,1.085379719734192,0.3078293204307556
1,9,DataShapley,0.1980890333652496,0.7958652973175049,0.3818547129631042
1,9,BetaShapley,0.2333271950483322,0.8303321003913879,0.2718924880027771
1,9,DataBanzhaf,0.2482747584581375,0.9296523332595824,0.2252480387687683
1,9,DataOob,0.1590911746025085,0.8882657289505005,0.5035491585731506
1,9,AME,0.1939366459846496,1.054048776626587,0.3948124051094055
1,9,DVRL,0.1715044379234314,0.781551718711853,0.4648130536079407
1,9,KNNShapley,0.2335694283246994,1.0507707595825195,0.2711365818977356
1,9,LavaEvaluator,0.278479665517807,0.9171632528305054,0.1309922933578491
1,10,LossVal (epochs = 5),0.1909538805484771,0.8698248267173767,0.4041202664375305
1,10,LossVal (epochs = 30),0.3328554332256317,1.563609004020691,-0.0386896133422851
1,10,Random,0.2894389033317566,0.7454712390899658,0.0967934727668762
1,10,InfluenceSubsample,0.1420283019542694,0.7071484327316284,0.5567946434020996
1,10,LeaveOneOut,0.2292881309986114,0.7732065916061401,0.2844966053962707
1,10,DataShapley,0.1715054959058761,0.813584566116333,0.464809775352478
1,10,BetaShapley,0.1765888631343841,0.8238915205001831,0.4489468932151794
1,10,DataBanzhaf,0.1992731839418411,1.0903878211975098,0.3781594634056091
1,10,DataOob,0.292463481426239,1.2959977388381958,0.0873551368713378
1,10,AME,0.267010897397995,0.8935672044754028,0.1667811274528503
1,10,DVRL,0.313970535993576,1.2005356550216677,0.0202415585517883
1,10,KNNShapley,0.2259819507598877,0.793866753578186,0.2948136329650879
1,10,LavaEvaluator,0.2930194437503814,1.0523371696472168,0.0856203436851501
2,1,base,0.1787534654140472,0.6779942512512207,0.2637609243392944
2,2,base,0.2216081470251083,0.7800015211105347,0.0872536897659301
2,3,base,0.1871226727962494,0.7991210222244263,0.2292903661727905
2,4,base,0.2676984369754791,0.806781530380249,-0.1025803089141845
2,5,base,0.1676492989063263,1.0598130226135254,0.3094961047172546
2,6,base,0.2119466215372085,0.8497622013092041,0.1270469427108764
2,7,base,0.1528724581003189,0.8346479535102844,0.3703581094741821
2,8,base,0.1985771358013153,0.7354881763458252,0.1821123361587524
2,9,base,0.1403147578239441,0.7607166767120361,0.4220799803733825
2,10,base,0.1593179851770401,0.703295111656189,0.3438106179237366
2,1,LossVal (epochs = 5),0.1539709866046905,0.8805825114250183,0.3658335208892822
2,1,LossVal (epochs = 30),0.212601363658905,0.8321398496627808,0.1243502497673034
2,1,Random,0.1298920661211013,1.0644676685333252,0.4650083184242248
2,1,InfluenceSubsample,0.1649047136306762,0.6973622441291809,0.3208003044128418
2,1,LeaveOneOut,0.1416677385568618,0.8558417558670044,0.416507363319397
2,1,DataShapley,0.2160698622465133,0.7734761238098145,0.1100643873214721
2,1,BetaShapley,0.1787724792957306,0.8178117871284485,0.2636826038360595
2,1,DataBanzhaf,0.1448076218366623,0.9316285848617554,0.4035750031471252
2,1,DataOob,0.2426795661449432,0.8434385657310486,0.0004659295082092
2,1,AME,0.1964407414197921,0.7392126321792603,0.190911591053009
2,1,DVRL,0.1684774756431579,0.7022547125816345,0.3060850501060486
2,1,KNNShapley,0.2128955870866775,0.7278072237968445,0.1231383681297302
2,1,LavaEvaluator,0.1850535571575164,0.6735013127326965,0.2378125190734863
2,2,LossVal (epochs = 5),0.235277846455574,0.7517051696777344,0.0309517383575439
2,2,LossVal (epochs = 30),0.2171664386987686,0.7620147466659546,0.1055478453636169
2,2,Random,0.1836190372705459,0.7907177209854126,0.2437209486961364
2,2,InfluenceSubsample,0.1746940612792968,0.7413623929023743,0.2804805636405945
2,2,LeaveOneOut,0.1852744966745376,0.8300365805625916,0.2369025349617004
2,2,DataShapley,0.2353337556123733,1.2936649322509766,0.0307214260101318
2,2,BetaShapley,0.2372521460056305,1.1079246997833252,0.0228201150894165
2,2,DataBanzhaf,0.1817761063575744,0.8704866170883179,0.2513114809989929
2,2,DataOob,0.1709771007299423,0.906628668308258,0.2957897782325744
2,2,AME,0.1852009445428848,1.0241665840148926,0.2372054457664489
2,2,DVRL,0.1466719210147857,0.9346553683280944,0.3958964943885803
2,2,KNNShapley,0.1292140930891037,0.7485527396202087,0.4678007364273071
2,2,LavaEvaluator,0.2853652834892273,1.0659377574920654,-0.1753454208374023
2,3,LossVal (epochs = 5),0.175889566540718,0.9279899597167968,0.2755565643310547
2,3,LossVal (epochs = 30),0.2269128561019897,0.8078014254570007,0.0654048919677734
2,3,Random,0.1889702230691909,0.6611704230308533,0.2216807603836059
2,3,InfluenceSubsample,0.2316199541091919,0.7221347093582153,0.046017587184906
2,3,LeaveOneOut,0.2043272256851196,0.7271134853363037,0.1584292650222778
2,3,DataShapley,0.1979252099990844,0.7928385734558105,0.184797465801239
2,3,BetaShapley,0.118085041642189,0.6965478658676147,0.5136383771896362
2,3,DataBanzhaf,0.3210262358188629,0.9991447925567628,-0.3222236633300781
2,3,DataOob,0.3087215721607208,0.9833558201789856,-0.2715439796447754
2,3,AME,0.1799899041652679,0.7716288566589355,0.258668303489685
2,3,DVRL,0.2572272419929504,0.9328492879867554,-0.0594521760940551
2,3,KNNShapley,0.1778718084096908,0.8288592100143433,0.2673922777175903
2,3,LavaEvaluator,0.1226344108581543,0.7472259998321533,0.4949007034301758
2,4,LossVal (epochs = 5),0.1424544751644134,0.7479124069213867,0.4132670760154724
2,4,LossVal (epochs = 30),0.1709874272346496,0.6915736794471741,0.2957472205162048
2,4,Random,0.242472767829895,0.7022971510887146,0.0013176798820495
2,4,InfluenceSubsample,0.1675548106431961,0.6995104551315308,0.3098852634429931
2,4,LeaveOneOut,0.1548871546983719,0.7135968804359436,0.3620600700378418
2,4,DataShapley,0.1511712074279785,0.9675055742263794,0.3773651123046875
2,4,BetaShapley,0.150067925453186,0.966797173023224,0.3819091916084289
2,4,DataBanzhaf,0.3226384222507477,1.1212453842163086,-0.3288638591766357
2,4,DataOob,0.2658573389053345,1.098817229270935,-0.0949972867965698
2,4,AME,0.1699604243040084,0.6103705763816833,0.29997718334198
2,4,DVRL,0.1626672148704528,0.848687469959259,0.330016016960144
2,4,KNNShapley,0.1764472275972366,0.8291054964065552,0.2732597589492798
2,4,LavaEvaluator,0.1662536114454269,1.0753084421157837,0.3152445554733276
2,5,LossVal (epochs = 5),0.1578553169965744,0.9907239675521852,0.3498349785804748
2,5,LossVal (epochs = 30),0.2006097733974456,0.8337094187736511,0.1737405061721801
2,5,Random,0.1882980465888977,0.8366886377334595,0.2244492769241333
2,5,InfluenceSubsample,0.200884535908699,0.7531924247741699,0.1726088523864746
2,5,LeaveOneOut,0.222242847084999,0.6851109862327576,0.0846394896507263
2,5,DataShapley,0.2431053668260574,1.026394009590149,-0.001287817955017
2,5,BetaShapley,0.1676663905382156,0.6686466932296753,0.3094257116317749
2,5,DataBanzhaf,0.191727414727211,0.9263098835945128,0.2103246450424194
2,5,DataOob,0.1921976655721664,0.7460228800773621,0.2083877325057983
2,5,AME,0.1614935249090194,0.9405126571655272,0.3348501324653625
2,5,DVRL,0.1606816351413726,0.8856855034828186,0.3381941318511963
2,5,KNNShapley,0.1774915754795074,0.8506545424461365,0.2689583301544189
2,5,LavaEvaluator,0.1766736507415771,0.6192243695259094,0.2723271250724792
2,6,LossVal (epochs = 5),0.2781098484992981,0.8951383829116821,-0.145462155342102
2,6,LossVal (epochs = 30),0.1597955077886581,0.90258526802063,0.341843843460083
2,6,Random,0.2112468928098678,0.8278270959854126,0.1299289464950561
2,6,InfluenceSubsample,0.2067722231149673,1.030694603919983,0.148358941078186
2,6,LeaveOneOut,0.1716982871294021,1.0214394330978394,0.2928193807601928
2,6,DataShapley,0.1665064096450805,0.7870926856994629,0.3142033815383911
2,6,BetaShapley,0.3267673552036285,1.1292712688446045,-0.345869779586792
2,6,DataBanzhaf,0.1473139375448227,0.7818006277084351,0.3932521939277649
2,6,DataOob,0.1650549918413162,0.7225865125656128,0.3201814293861389
2,6,AME,0.1825803518295288,0.7152509093284607,0.2479989528656005
2,6,DVRL,0.1610594242811203,0.7964885830879211,0.3366380333900451
2,6,KNNShapley,0.146563783288002,0.6824806928634644,0.396341860294342
2,6,LavaEvaluator,0.1454804539680481,0.7214744091033936,0.400803804397583
2,7,LossVal (epochs = 5),0.2390433549880981,0.6497970819473267,0.0154424905776977
2,7,LossVal (epochs = 30),0.1570121049880981,0.6193867325782776,0.3533079028129577
2,7,Random,0.1571764647960662,0.6943342685699463,0.3526309728622436
2,7,InfluenceSubsample,0.1302617937326431,0.5835130214691162,0.4634854793548584
2,7,LeaveOneOut,0.1937164813280105,0.8395041227340698,0.2021321654319763
2,7,DataShapley,0.1741710007190704,0.7150434255599976,0.2826349139213562
2,7,BetaShapley,0.1720146089792251,0.9213026762008668,0.2915165424346924
2,7,DataBanzhaf,0.1631139665842056,1.136438488960266,0.3281759619712829
2,7,DataOob,0.2889237701892853,0.9262561798095704,-0.1900019645690918
2,7,AME,0.1519326716661453,0.7186065912246704,0.374228835105896
2,7,DVRL,0.1295539587736129,0.8900673985481262,0.4664008617401123
2,7,KNNShapley,0.1475009173154831,1.0414080619812012,0.392482042312622
