Dataset,Cross-Entropy,Accuracy,mode
2dplanes,0.8252617716789246,0.4880000054836273,normal
2dplanes,0.8012617826461792,0.5119999647140503,weighted
2dplanes,0.8119284510612488,0.5013333559036255,normal
2dplanes,0.8119284510612488,0.5013333559036255,weighted
2dplanes,0.8159284591674805,0.4973333179950714,normal
2dplanes,0.8105950951576233,0.5026666522026062,weighted
2dplanes,0.8065951466560364,0.5066666603088379,normal
2dplanes,0.8199284672737122,0.4933333396911621,weighted
2dplanes,0.8085951209068298,0.5046666860580444,normal
2dplanes,0.8085951209068298,0.5046666860580444,weighted
2dplanes,0.8225951194763184,0.4906666576862335,normal
2dplanes,0.8039284348487854,0.5093333125114441,weighted
2dplanes,0.8102617859840393,0.503000020980835,normal
2dplanes,0.8162617683410645,0.4970000088214874,weighted
2dplanes,0.8159284591674805,0.4973333179950714,normal
2dplanes,0.8105950951576233,0.5026666522026062,weighted
2dplanes,0.8082618117332458,0.5049999952316284,normal
2dplanes,0.8182618021965027,0.4950000047683716,weighted
2dplanes,0.810928463935852,0.5023333430290222,normal
2dplanes,0.8155951499938965,0.4976666569709778,weighted
2dplanes,0.8062617778778076,0.5069999694824219,normal
2dplanes,0.8062617778778076,0.5069999694824219,weighted
2dplanes,0.8119284510612488,0.5013333559036255,normal
2dplanes,0.8119284510612488,0.5013333559036255,weighted
2dplanes,0.8232617974281311,0.49000000953674316,normal
2dplanes,0.8232617974281311,0.49000000953674316,weighted
2dplanes,0.8239284753799438,0.4893333315849304,normal
2dplanes,0.8239284753799438,0.4893333315849304,weighted
2dplanes,0.8119284510612488,0.5013333559036255,normal
2dplanes,0.814595103263855,0.4986666738986969,weighted
electricity,0.8259284496307373,0.4873333275318146,normal
electricity,0.8005951046943665,0.512666642665863,weighted
electricity,0.8209284543991089,0.492333322763443,normal
electricity,0.8209284543991089,0.492333322763443,weighted
electricity,0.8069284558296204,0.5063333511352539,normal
electricity,0.8069284558296204,0.5063333511352539,weighted
electricity,0.8222618103027344,0.4909999966621399,normal
electricity,0.5728479027748108,0.7433333396911621,weighted
electricity,0.8019284605979919,0.5113333463668823,normal
electricity,0.8245951533317566,0.4886666536331177,weighted
electricity,0.8055950999259949,0.5076666474342346,normal
electricity,0.8209284543991089,0.492333322763443,weighted
electricity,0.8115951418876648,0.5016666650772095,normal
electricity,0.8149284720420837,0.4983333349227905,weighted
electricity,0.811261773109436,0.5019999742507935,normal
electricity,0.811261773109436,0.5019999742507935,weighted
electricity,0.8025951385498047,0.5106666684150696,normal
electricity,0.8025951385498047,0.5106666684150696,weighted
electricity,0.8085951209068298,0.5046666860580444,normal
electricity,0.8085951209068298,0.5046666860580444,weighted
electricity,0.810928463935852,0.5023333430290222,normal
electricity,0.8155951499938965,0.4976666569709778,weighted
electricity,0.8032618165016174,0.5099999904632568,normal
electricity,0.8232617974281311,0.49000000953674316,weighted
electricity,0.8122618198394775,0.5009999871253967,normal
electricity,0.8122618198394775,0.5009999871253967,weighted
electricity,0.817261815071106,0.4959999918937683,normal
electricity,0.8092617988586426,0.5040000081062317,weighted
electricity,0.8052617907524109,0.5080000162124634,normal
electricity,0.8212617635726929,0.4919999837875366,weighted
MiniBooNE,0.8052617907524109,0.5080000162124634,normal
MiniBooNE,0.8212617635726929,0.4919999837875366,weighted
MiniBooNE,0.8019284605979919,0.5113333463668823,normal
MiniBooNE,0.5776937007904053,0.7266666293144226,weighted
MiniBooNE,0.8069284558296204,0.5063333511352539,normal
MiniBooNE,0.8195950984954834,0.4936666488647461,weighted
MiniBooNE,0.8249284625053406,0.4883333146572113,normal
MiniBooNE,0.8249284625053406,0.4883333146572113,weighted
MiniBooNE,0.8105950951576233,0.5026666522026062,normal
MiniBooNE,0.8159284591674805,0.4973333179950714,weighted
MiniBooNE,0.8022617697715759,0.5109999775886536,normal
MiniBooNE,0.8242617845535278,0.48899999260902405,weighted
MiniBooNE,0.811261773109436,0.5019999742507935,normal
MiniBooNE,0.8152617812156677,0.49799999594688416,weighted
MiniBooNE,0.8092617988586426,0.5040000081062317,normal
MiniBooNE,0.8092617988586426,0.5040000081062317,weighted
MiniBooNE,0.8159284591674805,0.4973333179950714,normal
MiniBooNE,0.8159284591674805,0.4973333179950714,weighted
MiniBooNE,0.8255951404571533,0.48766666650772095,normal
MiniBooNE,0.8009284734725952,0.512333333492279,weighted
MiniBooNE,0.8129284381866455,0.500333309173584,normal
MiniBooNE,0.8129284381866455,0.500333309173584,weighted
MiniBooNE,0.8245951533317566,0.4886666536331177,normal
MiniBooNE,0.8245951533317566,0.4886666536331177,weighted
MiniBooNE,0.8222618103027344,0.4909999966621399,normal
MiniBooNE,0.8042618036270142,0.5090000033378601,weighted
MiniBooNE,0.8189284801483154,0.49433332681655884,normal
MiniBooNE,0.8075951337814331,0.5056666731834412,weighted
MiniBooNE,0.8225951194763184,0.4906666576862335,normal
MiniBooNE,0.8225951194763184,0.4906666576862335,weighted
pol,0.6372618079185486,0.6759999990463257,normal
pol,0.6372618079185486,0.6759999990463257,weighted
pol,0.6472617983818054,0.6660000085830688,normal
pol,0.6472617983818054,0.6660000085830688,weighted
pol,0.6412618160247803,0.671999990940094,normal
pol,0.6412618160247803,0.671999990940094,weighted
pol,0.6395951509475708,0.6736666560173035,normal
pol,0.6395951509475708,0.6736666560173035,weighted
pol,0.6435950994491577,0.6696666479110718,normal
pol,0.6435950994491577,0.6696666479110718,weighted
pol,0.6432617902755737,0.6700000166893005,normal
pol,0.6432617902755737,0.6700000166893005,weighted
pol,0.6445951461791992,0.668666660785675,normal
pol,0.6445951461791992,0.668666660785675,weighted
pol,0.6602618098258972,0.652999997138977,normal
pol,0.6602618098258972,0.652999997138977,weighted
pol,0.6505951285362244,0.6626666784286499,normal
pol,0.6505951285362244,0.6626666784286499,weighted
pol,0.6479284763336182,0.6653333306312561,normal
pol,0.6479284763336182,0.6653333306312561,weighted
pol,0.6475951075553894,0.6656666398048401,normal
pol,0.6475951075553894,0.6656666398048401,weighted
pol,0.642595112323761,0.6706666350364685,normal
pol,0.642595112323761,0.6706666350364685,weighted
pol,0.6592618227005005,0.6539999842643738,normal
pol,0.6592618227005005,0.6539999842643738,weighted
pol,0.6562618017196655,0.6570000052452087,normal
pol,0.6562618017196655,0.6570000052452087,weighted
pol,0.6495951414108276,0.6636666655540466,normal
pol,0.6495951414108276,0.6636666655540466,weighted
fried,0.8102617859840393,0.503000020980835,normal
fried,0.8162617683410645,0.4970000088214874,weighted
fried,0.8159284591674805,0.4973333179950714,normal
fried,0.8105950951576233,0.5026666522026062,weighted
fried,0.8169284462928772,0.4963333308696747,normal
fried,0.8095951080322266,0.5036666393280029,weighted
fried,0.8162617683410645,0.4970000088214874,normal
fried,0.8162617683410645,0.4970000088214874,weighted
fried,0.8305951356887817,0.48266667127609253,normal
fried,0.7959284782409668,0.5173333287239075,weighted
fried,0.8249284625053406,0.4883333146572113,normal
fried,0.801595151424408,0.5116666555404663,weighted
fried,0.8195950984954834,0.4936666488647461,normal
fried,0.8195950984954834,0.4936666488647461,weighted
fried,0.814595103263855,0.4986666738986969,normal
fried,0.8119284510612488,0.5013333559036255,weighted
fried,0.8019284605979919,0.5113333463668823,normal
fried,0.8245951533317566,0.4886666536331177,weighted
fried,0.8132618069648743,0.5,normal
fried,0.8132618069648743,0.5,weighted
fried,0.811261773109436,0.5019999742507935,normal
fried,0.811261773109436,0.5019999742507935,weighted
fried,0.8059284687042236,0.5073333382606506,normal
fried,0.8205951452255249,0.49266666173934937,weighted
fried,0.8319284319877625,0.48133331537246704,normal
fried,0.8319284319877625,0.48133331537246704,weighted
fried,0.8082618117332458,0.5049999952316284,normal
fried,0.8182618021965027,0.4950000047683716,weighted
fried,0.8055950999259949,0.5076666474342346,normal
fried,0.8209284543991089,0.492333322763443,weighted
nomao,0.5925950407981873,0.7206666469573975,normal
nomao,0.5925950407981873,0.7206666469573975,weighted
nomao,0.5995951294898987,0.7136666774749756,normal
nomao,1.026928424835205,0.2863333225250244,weighted
nomao,0.5942617654800415,0.718999981880188,normal
nomao,0.5942617654800415,0.718999981880188,weighted
nomao,0.5959283709526062,0.7173333168029785,normal
nomao,0.5959283709526062,0.7173333168029785,weighted
nomao,0.6045951247215271,0.7086666822433472,normal
nomao,0.6045951247215271,0.7086666822433472,weighted
nomao,0.5999283790588379,0.7133333086967468,normal
nomao,0.5999283790588379,0.7133333086967468,weighted
nomao,0.6035950779914856,0.7096666693687439,normal
nomao,0.6035950779914856,0.7096666693687439,weighted
nomao,0.6012617349624634,0.7120000123977661,normal
nomao,0.6012617349624634,0.7120000123977661,weighted
nomao,0.5929283499717712,0.7203333377838135,normal
nomao,0.5929283499717712,0.7203333377838135,weighted
nomao,0.5969283580780029,0.7163333296775818,normal
nomao,0.5969283580780029,0.7163333296775818,weighted
nomao,0.6002616882324219,0.7129999995231628,normal
nomao,0.6002616882324219,0.7129999995231628,weighted
nomao,0.5869283676147461,0.7263333201408386,normal
nomao,0.5869283676147461,0.7263333201408386,weighted
nomao,0.6035950183868408,0.7096666693687439,normal
nomao,0.6035950183868408,0.7096666693687439,weighted
nomao,0.6015950441360474,0.7116666436195374,normal
nomao,0.6015950441360474,0.7116666436195374,weighted
nomao,0.6055951118469238,0.7076666355133057,normal
nomao,0.6055951118469238,0.7076666355133057,weighted
