Dataset,MSE,R2,mode
kin8nm,0.18666701018810272,0.8119049072265625,normal
kin8nm,0.18408988416194916,0.8145017623901367,weighted
kin8nm,0.17265506088733673,0.8250829577445984,normal
kin8nm,0.1812121421098709,0.8164137601852417,weighted
kin8nm,0.16577860713005066,0.833049476146698,normal
kin8nm,0.16642872989177704,0.8323947787284851,weighted
kin8nm,0.19701005518436432,0.800187885761261,normal
kin8nm,0.16799373924732208,0.829616904258728,weighted
kin8nm,0.15568123757839203,0.8391380906105042,normal
kin8nm,0.16862793266773224,0.825760543346405,weighted
kin8nm,0.13913211226463318,0.8565600514411926,normal
kin8nm,0.16775017976760864,0.8270559310913086,weighted
kin8nm,0.16621693968772888,0.8387608528137207,normal
kin8nm,0.15965941548347473,0.8451219797134399,weighted
kin8nm,0.17378702759742737,0.8227300643920898,normal
kin8nm,0.18197758495807648,0.8143754005432129,weighted
kin8nm,0.15150047838687897,0.8484961986541748,normal
kin8nm,0.16308584809303284,0.836910605430603,weighted
kin8nm,0.17089855670928955,0.8314570188522339,normal
kin8nm,0.1608736515045166,0.8413437008857727,weighted
kin8nm,0.13356147706508636,0.8672050833702087,normal
kin8nm,0.17461735010147095,0.8263848423957825,weighted
kin8nm,0.19859425723552704,0.7985747456550598,normal
kin8nm,0.18225450813770294,0.8151473999023438,weighted
kin8nm,0.14336957037448883,0.8589466214179993,normal
kin8nm,0.18177925050258636,0.8211574554443359,weighted
kin8nm,0.15252874791622162,0.8486294746398926,normal
kin8nm,0.17949743568897247,0.8218655586242676,weighted
kin8nm,0.1672513335943222,0.8320965766906738,normal
kin8nm,0.1802307516336441,0.8190665245056152,weighted
white_wine,0.8324387073516846,0.13259804248809814,normal
white_wine,0.684137225151062,0.2871283292770386,weighted
white_wine,0.8191983699798584,0.1850324273109436,normal
white_wine,0.7912622690200806,0.212824285030365,weighted
white_wine,0.836899995803833,0.13973617553710938,normal
white_wine,0.8187293410301208,0.1584140658378601,weighted
white_wine,0.9054422378540039,0.09697139263153076,normal
white_wine,0.7687441110610962,0.23330503702163696,weighted
white_wine,0.8460279703140259,0.1381654143333435,normal
white_wine,0.7819110155105591,0.20348024368286133,weighted
white_wine,0.7985144853591919,0.2023981809616089,normal
white_wine,0.756331205368042,0.2445332407951355,weighted
white_wine,0.947663426399231,0.01541602611541748,normal
white_wine,0.7986332774162292,0.17025232315063477,weighted
white_wine,0.8427289724349976,0.1480656862258911,normal
white_wine,0.8808913230895996,0.10948646068572998,weighted
white_wine,0.7646197080612183,0.25448161363601685,normal
white_wine,0.9813058376312256,0.04320859909057617,weighted
white_wine,0.8447778224945068,0.1614757776260376,normal
white_wine,0.9274352192878723,0.0794302225112915,weighted
white_wine,0.849251925945282,0.15813851356506348,normal
white_wine,0.8592453002929688,0.14823216199874878,weighted
white_wine,0.834430992603302,0.183926522731781,normal
white_wine,0.8072184324264526,0.21054041385650635,weighted
white_wine,0.8350440859794617,0.13107818365097046,normal
white_wine,0.711513102054596,0.2596208453178406,weighted
white_wine,0.778851330280304,0.22950565814971924,normal
white_wine,0.719971239566803,0.2877539396286011,weighted
white_wine,0.7906877994537354,0.20618700981140137,normal
white_wine,0.9240440726280212,0.07230359315872192,weighted
cpu_activity,0.05255654826760292,0.9473780393600464,normal
cpu_activity,0.05080290511250496,0.9491338729858398,weighted
cpu_activity,0.058382242918014526,0.940096378326416,normal
cpu_activity,0.08235906064510345,0.9154947996139526,weighted
cpu_activity,0.02563617378473282,0.9738739132881165,normal
cpu_activity,0.023546844720840454,0.9760031700134277,weighted
cpu_activity,0.029304886236786842,0.9693782329559326,normal
cpu_activity,0.032031137496232986,0.9665294885635376,weighted
cpu_activity,0.047703683376312256,0.948382556438446,normal
cpu_activity,0.047472257167100906,0.9486329555511475,weighted
cpu_activity,0.04149368777871132,0.9608295559883118,normal
cpu_activity,0.06374037265777588,0.9398284554481506,weighted
cpu_activity,0.03665719926357269,0.9590461850166321,normal
cpu_activity,0.06055767834186554,0.9323443174362183,weighted
cpu_activity,0.03293688967823982,0.9688092470169067,normal
cpu_activity,0.16416743397712708,0.8445357084274292,weighted
cpu_activity,0.04210957884788513,0.9542471170425415,normal
cpu_activity,0.07482185959815979,0.9187045693397522,weighted
cpu_activity,0.04019271209836006,0.960408627986908,normal
cpu_activity,0.102715402841568,0.8988214135169983,weighted
cpu_activity,0.044403158128261566,0.9560790061950684,normal
cpu_activity,0.06489945948123932,0.9358053207397461,weighted
cpu_activity,0.05733749270439148,0.9431390166282654,normal
cpu_activity,0.05371684581041336,0.9467295408248901,weighted
cpu_activity,0.04200633987784386,0.9552754759788513,normal
cpu_activity,0.10543084889650345,0.8877468109130859,weighted
cpu_activity,0.03305228799581528,0.9665946960449219,normal
cpu_activity,0.05538047105073929,0.9440280199050903,weighted
cpu_activity,0.03775052726268768,0.9617118835449219,normal
cpu_activity,0.05095604807138443,0.9483183026313782,weighted
pumadyn32nh,0.5975447297096252,0.4055114984512329,normal
pumadyn32nh,0.624616801738739,0.37857794761657715,weighted
pumadyn32nh,0.5745037794113159,0.4206109046936035,normal
pumadyn32nh,0.6110231280326843,0.3837810158729553,weighted
pumadyn32nh,0.6102540493011475,0.3981882929801941,normal
pumadyn32nh,0.6092614531517029,0.39916718006134033,weighted
pumadyn32nh,0.5872437357902527,0.4149617552757263,normal
pumadyn32nh,0.5986632704734802,0.4035850763320923,weighted
pumadyn32nh,0.6137930154800415,0.40723055601119995,normal
pumadyn32nh,0.6386374235153198,0.3832371234893799,weighted
