nr_hidden_layers,hidden_layer_size,learning_rate,batch_size,activation_function,mse
1,10,0.001,full,ReLU(),2226979.000623169
1,10,0.001,full,Tanh(),743.6063726806641
1,10,0.001,full,Sigmoid(),751.2836260986328
1,10,0.01,full,ReLU(),124328.36407333374
1,10,0.01,full,Tanh(),587.6177505493164
1,10,0.01,full,Sigmoid(),660.6505609130859
1,10,0.1,full,ReLU(),764.2647235107422
1,10,0.1,full,Tanh(),12.306649832725524
1,10,0.1,full,Sigmoid(),152.7659004211426
1,20,0.001,full,ReLU(),893376.4446089935
1,20,0.001,full,Tanh(),726.6619787597656
1,20,0.001,full,Sigmoid(),741.1820526123047
1,20,0.01,full,ReLU(),296749.50590576173
1,20,0.01,full,Tanh(),459.61009521484374
1,20,0.01,full,Sigmoid(),589.6629885864257
1,20,0.1,full,ReLU(),758.5949401855469
1,20,0.1,full,Tanh(),31.475051651000978
1,20,0.1,full,Sigmoid(),26.740500950813292
1,30,0.001,full,ReLU(),473566.2094946289
1,30,0.001,full,Tanh(),713.6850366210938
1,30,0.001,full,Sigmoid(),733.7074328613281
1,30,0.01,full,ReLU(),364249.69919921877
1,30,0.01,full,Tanh(),346.7101068115234
1,30,0.01,full,Sigmoid(),528.8871078491211
1,30,0.1,full,ReLU(),762.0220166015625
1,30,0.1,full,Tanh(),13.462669067382812
1,30,0.1,full,Sigmoid(),28.59567012786865
1,40,0.001,full,ReLU(),472317.7598162842
1,40,0.001,full,Tanh(),688.8391015625
1,40,0.001,full,Sigmoid(),726.3353247070313
1,40,0.01,full,ReLU(),369416.07414031983
1,40,0.01,full,Tanh(),257.09398818969726
1,40,0.01,full,Sigmoid(),457.37771209716794
1,40,0.1,full,ReLU(),756.3780236816406
1,40,0.1,full,Tanh(),30.604874954223632
1,40,0.1,full,Sigmoid(),28.918155202865602
1,50,0.001,full,ReLU(),569072.0097821045
1,50,0.001,full,Tanh(),677.73142578125
1,50,0.001,full,Sigmoid(),716.0458038330078
1,50,0.01,full,ReLU(),461098.76167419436
1,50,0.01,full,Tanh(),180.9790361022949
1,50,0.01,full,Sigmoid(),405.28877319335936
1,50,0.1,full,ReLU(),757.7085516357422
1,50,0.1,full,Tanh(),18.500705938339234
1,50,0.1,full,Sigmoid(),19.078250999450685
1,60,0.001,full,ReLU(),450841.23047164915
1,60,0.001,full,Tanh(),665.4380578613282
1,60,0.001,full,Sigmoid(),711.8787200927734
1,60,0.01,full,ReLU(),475606.317232666
1,60,0.01,full,Tanh(),121.81405113220215
1,60,0.01,full,Sigmoid(),342.5481137084961
1,60,0.1,full,ReLU(),764.3768731689453
1,60,0.1,full,Tanh(),13.506259064674378
1,60,0.1,full,Sigmoid(),16.57838225841522
1,70,0.001,full,ReLU(),426833.83940307616
1,70,0.001,full,Tanh(),644.9331201171875
1,70,0.001,full,Sigmoid(),700.6225646972656
1,70,0.01,full,ReLU(),519546.86962615966
1,70,0.01,full,Tanh(),78.2543253326416
1,70,0.01,full,Sigmoid(),303.32052474975586
1,70,0.1,full,ReLU(),760.8395629882813
1,70,0.1,full,Tanh(),25.691911869049072
1,70,0.1,full,Sigmoid(),24.22605813026428
1,80,0.001,full,ReLU(),366440.3252105713
1,80,0.001,full,Tanh(),632.7866357421875
1,80,0.001,full,Sigmoid(),693.6782196044921
1,80,0.01,full,ReLU(),582180.0936895752
1,80,0.01,full,Tanh(),47.06169057846069
1,80,0.01,full,Sigmoid(),251.95821655273437
1,80,0.1,full,ReLU(),761.8715991210937
1,80,0.1,full,Tanh(),27.825563373565675
1,80,0.1,full,Sigmoid(),26.8929545879364
1,90,0.001,full,ReLU(),444355.5668383789
1,90,0.001,full,Tanh(),615.8626641845703
1,90,0.001,full,Sigmoid(),683.6981530761718
1,90,0.01,full,ReLU(),581549.7672265625
1,90,0.01,full,Tanh(),26.458663854599
1,90,0.01,full,Sigmoid(),221.5136474609375
1,90,0.1,full,ReLU(),759.2504803466796
1,90,0.1,full,Tanh(),17.386057682037354
1,90,0.1,full,Sigmoid(),25.43889526844025
1,100,0.001,full,ReLU(),404772.79752288817
1,100,0.001,full,Tanh(),603.2644006347656
1,100,0.001,full,Sigmoid(),679.1435321044922
1,100,0.01,full,ReLU(),747202.8053601074
1,100,0.01,full,Tanh(),16.13706425666809
1,100,0.01,full,Sigmoid(),176.52038024902345
1,100,0.1,full,ReLU(),759.4859466552734
1,100,0.1,full,Tanh(),12.234106268882751
1,100,0.1,full,Sigmoid(),19.650480284690858
1,110,0.001,full,ReLU(),431106.1726370239
1,110,0.001,full,Tanh(),586.391494140625
1,110,0.001,full,Sigmoid(),671.1941278076172
1,110,0.01,full,ReLU(),774626.4778112792
1,110,0.01,full,Tanh(),12.202799019813538
1,110,0.01,full,Sigmoid(),152.1297762298584
1,110,0.1,full,ReLU(),762.0386151123047
1,110,0.1,full,Tanh(),18.754907779693603
1,110,0.1,full,Sigmoid(),14.992852649688722
1,120,0.001,full,ReLU(),388630.7638989258
1,120,0.001,full,Tanh(),572.8964196777343
1,120,0.001,full,Sigmoid(),661.268798828125
1,120,0.01,full,ReLU(),1111913.3934432983
1,120,0.01,full,Tanh(),13.065807418823242
1,120,0.01,full,Sigmoid(),126.54353946685791
1,120,0.1,full,ReLU(),766.9872869873047
1,120,0.1,full,Tanh(),27.014557552337646
1,120,0.1,full,Sigmoid(),15.818992466926575
1,130,0.001,full,ReLU(),302154.492255249
1,130,0.001,full,Tanh(),562.2169927978516
1,130,0.001,full,Sigmoid(),657.4246490478515
1,130,0.01,full,ReLU(),1223179.0090679931
1,130,0.01,full,Tanh(),16.70923261642456
1,130,0.01,full,Sigmoid(),97.59225883483887
1,130,0.1,full,ReLU(),764.8505206298828
1,130,0.1,full,Tanh(),28.683980598449708
1,130,0.1,full,Sigmoid(),19.968325972557068
1,140,0.001,full,ReLU(),325970.4338446045
1,140,0.001,full,Tanh(),553.83521484375
1,140,0.001,full,Sigmoid(),649.0917071533203
1,140,0.01,full,ReLU(),1235793.4677630616
1,140,0.01,full,Tanh(),22.138491611480713
1,140,0.01,full,Sigmoid(),73.91443454742432
1,140,0.1,full,ReLU(),761.9103228759766
1,140,0.1,full,Tanh(),21.880856590270994
1,140,0.1,full,Sigmoid(),25.295149936676026
1,150,0.001,full,ReLU(),385250.94285583496
1,150,0.001,full,Tanh(),531.5486795043945
1,150,0.001,full,Sigmoid(),644.3484332275391
1,150,0.01,full,ReLU(),1282593.3863876343
1,150,0.01,full,Tanh(),27.07346382141113
1,150,0.01,full,Sigmoid(),60.52635593414307
