config,accuracy,r2_score
"(1, 10, 0.001, 32, ReLU())",0.00016666667458290854,0.3765416045983632
"(1, 10, 0.001, 32, Tanh())",0.0,0.4292647772365146
"(1, 10, 0.001, 32, Sigmoid())",0.0,0.2560278938876258
"(1, 10, 0.001, 64, ReLU())",0.0001111111163886057,0.29054270519150627
"(1, 10, 0.001, 64, Tanh())",0.0,0.3253174357944065
"(1, 10, 0.001, 64, Sigmoid())",0.0,0.17966408199734157
"(1, 10, 0.001, 128, ReLU())",0.0,0.19010324279467264
"(1, 10, 0.001, 128, Tanh())",0.0,0.20663528972201878
"(1, 10, 0.001, 128, Sigmoid())",0.0,0.11082680357827081
"(1, 10, 0.01, 32, ReLU())",0.006000000252647119,0.5977321532037523
"(1, 10, 0.01, 32, Tanh())",0.0,0.5940274828010135
"(1, 10, 0.01, 32, Sigmoid())",0.0,0.5470757053958045
"(1, 10, 0.01, 64, ReLU())",0.0018888889850738149,0.5630631347497305
"(1, 10, 0.01, 64, Tanh())",0.0,0.5624282889895968
"(1, 10, 0.01, 64, Sigmoid())",0.0,0.49851459595892167
"(1, 10, 0.01, 128, ReLU())",0.003333333549865832,0.5483081969949934
"(1, 10, 0.01, 128, Tanh())",0.0,0.5298667450745901
"(1, 10, 0.01, 128, Sigmoid())",0.0,0.44599513212839764
"(1, 10, 0.1, 32, ReLU())",0.08650000491696927,0.565238893032074
"(1, 10, 0.1, 32, Tanh())",0.0,0.5483392477035522
"(1, 10, 0.1, 32, Sigmoid())",0.0,0.660698327753279
"(1, 10, 0.1, 64, ReLU())",0.04850000172154978,0.5623751117123498
"(1, 10, 0.1, 64, Tanh())",0.0,0.5916165279017555
"(1, 10, 0.1, 64, Sigmoid())",0.0,0.6246501704057058
"(1, 10, 0.1, 128, ReLU())",0.04472222399070031,0.5386787090036604
"(1, 10, 0.1, 128, Tanh())",0.0,0.5645050737592909
"(1, 10, 0.1, 128, Sigmoid())",0.0,0.559462673134274
"(1, 20, 0.001, 32, ReLU())",0.0,0.4889877802795834
"(1, 20, 0.001, 32, Tanh())",0.0,0.4996470510959625
"(1, 20, 0.001, 32, Sigmoid())",0.0,0.3260575433572133
"(1, 20, 0.001, 64, ReLU())",0.0,0.37423590156767106
"(1, 20, 0.001, 64, Tanh())",0.0,0.40583815177281696
"(1, 20, 0.001, 64, Sigmoid())",0.0,0.22646775510576037
"(1, 20, 0.001, 128, ReLU())",0.0,0.25125252538257176
"(1, 20, 0.001, 128, Tanh())",0.0,0.3029664655526479
"(1, 20, 0.001, 128, Sigmoid())",0.0,0.17118078801367018
"(1, 20, 0.01, 32, ReLU())",0.010111111552558012,0.5942069093386332
"(1, 20, 0.01, 32, Tanh())",0.0,0.6240165068043603
"(1, 20, 0.01, 32, Sigmoid())",0.0,0.5473135378625658
"(1, 20, 0.01, 64, ReLU())",0.001777777875152727,0.618517624007331
"(1, 20, 0.01, 64, Tanh())",0.0,0.5968219737211863
"(1, 20, 0.01, 64, Sigmoid())",0.0,0.5338157614072164
"(1, 20, 0.01, 128, ReLU())",0.0029444446037006048,0.5585907267199622
"(1, 20, 0.01, 128, Tanh())",0.0,0.5558030241065555
"(1, 20, 0.01, 128, Sigmoid())",0.0,0.48245661126242745
"(1, 20, 0.1, 32, ReLU())",0.16150000531019437,0.5342450075679355
"(1, 20, 0.1, 32, Tanh())",0.00116666672208036,0.5800015793906318
"(1, 20, 0.1, 32, Sigmoid())",0.001833333375139369,0.6240286661518945
"(1, 20, 0.1, 64, ReLU())",0.10155555822550216,0.5701881183518304
"(1, 20, 0.1, 64, Tanh())",0.000500000004346172,0.5926099949412875
"(1, 20, 0.1, 64, Sigmoid())",0.0,0.6273760861820645
"(1, 20, 0.1, 128, ReLU())",0.06138889201813274,0.5736331409878201
"(1, 20, 0.1, 128, Tanh())",0.0,0.595366809103224
"(1, 20, 0.1, 128, Sigmoid())",0.0,0.5611615810129378
"(1, 30, 0.001, 32, ReLU())",0.0,0.518099264966117
"(1, 30, 0.001, 32, Tanh())",0.0,0.5001150270303091
"(1, 30, 0.001, 32, Sigmoid())",0.0,0.37686604923672146
"(1, 30, 0.001, 64, ReLU())",0.0,0.4236262109544542
"(1, 30, 0.001, 64, Tanh())",0.0,0.4639981687068939
"(1, 30, 0.001, 64, Sigmoid())",0.0,0.2549604939089881
"(1, 30, 0.001, 128, ReLU())",0.0,0.2915867269039154
"(1, 30, 0.001, 128, Tanh())",0.0,0.36601631508933175
"(1, 30, 0.001, 128, Sigmoid())",0.0,0.18840572237968445
"(1, 30, 0.01, 32, ReLU())",0.012888889429935565,0.5985433558622996
"(1, 30, 0.01, 32, Tanh())",0.0,0.624551405509313
"(1, 30, 0.01, 32, Sigmoid())",0.0,0.581261416276296
"(1, 30, 0.01, 64, ReLU())",0.008166667151575288,0.6034068597687615
"(1, 30, 0.01, 64, Tanh())",0.0,0.5778373943434821
"(1, 30, 0.01, 64, Sigmoid())",0.0,0.5367967651949989
"(1, 30, 0.01, 128, ReLU())",0.0033888890757225454,0.5675297445721097
"(1, 30, 0.01, 128, Tanh())",0.0,0.5457251138157315
"(1, 30, 0.01, 128, Sigmoid())",0.0,0.48439270589086747
"(1, 30, 0.1, 32, ReLU())",0.13716667307178593,0.3171815706623925
"(1, 30, 0.1, 32, Tanh())",0.002444444631692022,0.49723129802280003
"(1, 30, 0.1, 32, Sigmoid())",0.00016666667458290854,0.6178261935710907
"(1, 30, 0.1, 64, ReLU())",0.13766667189257634,0.5500349965360429
"(1, 30, 0.1, 64, Tanh())",0.0018333334527495834,0.5926246311929491
"(1, 30, 0.1, 64, Sigmoid())",5.555555819430285e-05,0.6328300204541948
"(1, 30, 0.1, 128, ReLU())",0.087777781765908,0.5286205675866869
"(1, 30, 0.1, 128, Tanh())",0.0,0.6034011344114939
"(1, 30, 0.1, 128, Sigmoid())",0.0,0.5679211152924432
"(1, 40, 0.001, 32, ReLU())",0.0001111111163886057,0.5281292001406351
"(1, 40, 0.001, 32, Tanh())",0.0,0.5333592196305593
"(1, 40, 0.001, 32, Sigmoid())",0.0,0.3788748284180959
"(1, 40, 0.001, 64, ReLU())",5.555555819430285e-05,0.45805570152070785
"(1, 40, 0.001, 64, Tanh())",0.0,0.49176542626486885
"(1, 40, 0.001, 64, Sigmoid())",0.0,0.28560895058843827
"(1, 40, 0.001, 128, ReLU())",0.0,0.31739165054427254
"(1, 40, 0.001, 128, Tanh())",0.0,0.38985517289903426
"(1, 40, 0.001, 128, Sigmoid())",0.0,0.20927775899569193
"(1, 40, 0.01, 32, ReLU())",0.01450000036533715,0.5774105158117082
"(1, 40, 0.01, 32, Tanh())",0.0,0.6204892430040572
"(1, 40, 0.01, 32, Sigmoid())",0.0,0.5727680491076576
"(1, 40, 0.01, 64, ReLU())",0.010055556181921728,0.6005420519245995
"(1, 40, 0.01, 64, Tanh())",0.0,0.6009653574890561
"(1, 40, 0.01, 64, Sigmoid())",0.0,0.5671065416600969
"(1, 40, 0.01, 128, ReLU())",0.003222222388204601,0.5846997565693326
"(1, 40, 0.01, 128, Tanh())",0.0,0.56899427374204
"(1, 40, 0.01, 128, Sigmoid())",0.0,0.5271707110934787
"(1, 40, 0.1, 32, ReLU())",0.1587777862829777,0.47484560476409066
"(1, 40, 0.1, 32, Tanh())",0.006777778106172466,0.48195312089390224
"(1, 40, 0.1, 32, Sigmoid())",0.0014444445001168384,0.6440357400311364
"(1, 40, 0.1, 64, ReLU())",0.15483334057757425,0.5528527266449399
"(1, 40, 0.1, 64, Tanh())",0.0046111114012698335,0.5663937098450131
