kmeans_f1,method,dataset,noise_rate,model
0.1783783783783784,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1662468513853904,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1639344262295081,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.1518438177874186,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.148,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1167434715821812,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.1138211382113821,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1118012422360248,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1112781954887218,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1109570041608876,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.110091743119266,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1093969144460028,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.1064638783269961,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.1051282051282051,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1044546850998463,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1042471042471042,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.1031307550644567,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.1018181818181818,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0982986767485822,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0969162995594713,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0946745562130177,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.0919117647058823,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0918918918918919,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0894568690095846,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0875,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0864714086471408,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0849673202614379,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0848656294200848,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0844594594594594,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0789946140035906,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0787992495309568,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.076595744680851,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0748663101604278,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0735294117647058,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0717131474103585,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.0712945590994371,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0666666666666666,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0595903165735568,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0584795321637426,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.0554371002132196,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0535117056856187,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0533333333333333,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1610738255033557,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1572052401746725,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1409691629955947,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1407249466950959,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1336405529953917,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.1183431952662721,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1174438687392055,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1160092807424593,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1140065146579804,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1122913505311077,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.1098591549295774,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.1075268817204301,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1073657927590511,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.104882459312839,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.1047120418848167,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.1043956043956044,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1013333333333333,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0995850622406639,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0963045912653975,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0952380952380952,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0947976878612716,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0933572710951526,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0932944606413994,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0929368029739776,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0920810313075506,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0919117647058823,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0918836140888208,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0912408759124087,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0897666068222621,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.0896860986547085,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0886917960088691,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0857142857142857,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0852974186307519,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.1)",electricity,0.05,LossVal MLP
0.083076923076923,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",electricity,0.05,LossVal MLP
0.0705882352941176,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0672268907563025,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.0668523676880222,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.0636042402826855,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.0611764705882353,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.0611111111111111,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
0.059880239520958,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.0507614213197969,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.165,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1572052401746725,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",electricity,0.05,LossVal MLP
0.1528662420382165,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",electricity,0.05,LossVal MLP
0.1407867494824016,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",electricity,0.05,LossVal MLP
0.1291585127201565,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",electricity,0.05,LossVal MLP
