kmeans_f1,method,dataset,noise_rate,model
0.2639593908629442,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.2272727272727272,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.2242152466367713,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.2184300341296928,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1955555555555555,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1858974358974359,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1710794297352342,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1686046511627907,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1570996978851963,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1481481481481481,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1467181467181467,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1374045801526717,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1309823677581864,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1309823677581864,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.128395061728395,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1194029850746268,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1188118811881188,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1162324649298597,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1141732283464567,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1108829568788501,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1086519114688128,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1055806938159879,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1024258760107816,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1012987012987013,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0997920997920998,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0970873786407767,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0959821428571428,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0959409594095941,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0952380952380952,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0935412026726058,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.090566037735849,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0904522613065326,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0893617021276595,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0828402366863905,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0754716981132075,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0735930735930736,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0717360114777618,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0699029126213592,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0686868686868686,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0682788051209103,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
