kmeans_f1,method,dataset,noise_rate,model
0.4692737430167598,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1949152542372881,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1260162601626016,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1182994454713493,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1160714285714285,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.110655737704918,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1105527638190954,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1105263157894736,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1092896174863388,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.109090909090909,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1085271317829457,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1082164328657314,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.1070663811563169,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1067961165048543,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1065573770491803,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1044776119402985,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1030927835051546,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.1023890784982935,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1023454157782516,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.0985442329227323,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.097457627118644,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0944558521560575,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0878552971576227,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0857142857142857,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0853080568720379,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0851063829787234,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0851063829787234,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0846774193548387,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0846560846560846,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0829268292682926,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.081081081081081,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0805970149253731,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0794223826714801,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0786026200873362,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0785340314136125,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.075,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0729001584786053,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.072829131652661,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0662983425414364,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.0377358490566037,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.0350877192982456,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.0,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1726907630522088,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1460506706408345,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1432225063938619,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1225490196078431,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1067961165048543,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1054945054945055,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1037204058624577,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.1036036036036036,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.1029207232267037,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.1008403361344537,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.1,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.0997067448680351,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0980392156862745,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0972515856236786,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",pol,0.05,LossVal MLP
0.0928792569659442,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0915032679738562,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.09009009009009,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0855614973262032,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0846560846560846,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0815217391304347,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.001)",pol,0.05,LossVal MLP
0.0809443507588532,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0808625336927223,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.0808080808080808,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn (additive), nr_epochs=5, lr=0.01)",pol,0.05,LossVal MLP
0.0802139037433155,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
0.0802139037433155,"LossValEvaluator(loss=[ABLATION] Weighted CE, nr_epochs=30, lr=0.1)",pol,0.05,LossVal MLP
0.08,"LossValEvaluator(loss=Weighted CE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",pol,0.05,LossVal MLP
0.079155672823219,"LossValEvaluator(loss=[ABLATION] Weighted CE loss with Sinkhorn, nr_epochs=5, lr=0.1)",pol,0.05,LossVal MLP
