kmeans_f1,method,dataset,noise_rate,model
0.3441860465116279,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.2939068100358423,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.2847682119205298,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=30, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.2794759825327511,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.26578073089701,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.2605633802816901,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.1942604856512141,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.149812734082397,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=30, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.1386481802426343,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=5, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.1384083044982699,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn (additive), nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.1253561253561253,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.1212121212121212,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=30, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.1170483460559796,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.1155866900175131,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=30, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.1125925925925925,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.1105263157894736,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.108695652173913,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=5, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.1075794621026894,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.0983606557377049,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with squared Sinkhorn (additive), nr_epochs=30, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.0982658959537572,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=5, lr=0.001)",cpu_activity,0.05,LossVal MLP
0.096045197740113,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.0956719817767653,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=30, lr=0.01)",cpu_activity,0.05,LossVal MLP
0.0951156812339331,"LossValEvaluator(loss=[ABLATION] Squared Sinkhorn only, nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.0929487179487179,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with squared Sinkhorn (additive), nr_epochs=5, lr=0.1)",cpu_activity,0.05,LossVal MLP
0.0924855491329479,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=30, lr=0.1)",cpu_activity,0.05,LossVal MLP
