kmeans_f1,method,dataset,noise_rate,model
0.2349397590361445,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=30, lr=0.01)",kin8nm,0.05,LossVal MLP
0.2264150943396226,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=30, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1957671957671957,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=30, lr=0.001)",kin8nm,0.05,LossVal MLP
0.1863979848866498,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=30, lr=0.001)",kin8nm,0.05,LossVal MLP
0.1775456919060052,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1619047619047619,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.001)",kin8nm,0.05,LossVal MLP
0.1603563474387528,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=5, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1435897435897435,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=30, lr=0.001)",kin8nm,0.05,LossVal MLP
0.1379310344827586,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1340388007054673,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.001)",kin8nm,0.05,LossVal MLP
0.1302521008403361,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn (additive), nr_epochs=30, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1265822784810126,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=30, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1239669421487603,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn, nr_epochs=5, lr=0.1)",kin8nm,0.05,LossVal MLP
0.1226158038147139,"LossValEvaluator(loss=[ABLATION] Weighted MSE loss with Sinkhorn (additive), nr_epochs=30, lr=0.1)",kin8nm,0.05,LossVal MLP
0.1219512195121951,"LossValEvaluator(loss=[ABLATION] Sinkhorn only, nr_epochs=30, lr=0.01)",kin8nm,0.05,LossVal MLP
0.1122661122661122,"LossValEvaluator(loss=Weighted MSE loss with squared Sinkhorn, nr_epochs=5, lr=0.1)",kin8nm,0.05,LossVal MLP
0.1107011070110701,"LossValEvaluator(loss=[ABLATION] Weighted MSE, nr_epochs=5, lr=0.001)",kin8nm,0.05,LossVal MLP
